SuperWEB2(tm)

"Ward by Age Group Estimates"
"Ward 2022 by Age group"
"Counting: Population estimates"

Filters:
"Default Summation","Population estimates"

"Age group","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85+","Total",
"Ward 2022",
"52502001",1164.538901,1085.0676968,1217.0142725,1152.3736779,1104.4198485,1242.1847365,1041.5074529,960.7638066,832.4803043,548.6115187,501.3396454,517.8703313,460.3776196,331.5740361,170.3030619,92.3249391,83.9734429,56.4623513,12563.1876433,
"52502002",638.7812893,859.1964855,846.0465448,890.3206196,753.8493147,784.8286218,984.9350186,1149.6302101,1010.2672298,825.2736061,822.5443624,686.2818041,772.4227557,688.5338704,471.0532972,491.3830525,231.4937956,107.9072573,13014.7491353,
"52502003",369.6026639,540.5642973,760.8165525,794.658127,602.7989572,689.8780424,903.8771923,1025.1147145,967.7852377,621.9726229,691.7725373,752.2062109,718.6662728,484.4138809,414.0257575,196.8076597,103.4989208,57.7443641,10696.2040119,
"52502004",458.4039849,740.4895345,672.980975,639.326058,586.9158866,634.6077683,896.3884685,1070.5995953,822.9545668,633.704707,673.0585525,702.6869877,583.0412052,566.0325378,437.5466773,261.0454037,146.0115796,67.1127481,10592.9072369,
"52502005",897.0595963,954.7085953,1077.5441081,1151.7457448,1848.6537063,1358.9793167,1113.7587863,1096.2886332,837.3529926,804.8749144,686.6002414,671.338392,511.9514759,344.2486713,222.7205478,118.1395776,43.1170582,25.5977858,13764.6801439,
"52502006",3043.6890173,2735.9301791,2789.1673365,2654.4839891,2209.3755321,2169.1839709,1951.0800382,1817.3551204,1338.0800547,1081.6642775,803.4538837,708.4355024,572.0268149,428.6125213,254.8540962,129.9592453,73.5424155,42.9063114,24803.8003066,
"52502007",2670.3356336,2526.2160598,2633.5342462,2448.8598982,1886.2263694,1830.6997778,1624.5002393,1471.8375861,1159.3070203,809.5078243,657.1001292,631.5264662,489.2192641,396.4828347,191.8303707,100.752553,56.3947957,36.3263441,21620.6574126,
"52502008",1226.8717611,1040.6927331,1115.381844,1069.5723609,974.5950521,1102.1117,1125.2223149,978.2938859,671.3517877,482.0220728,425.2855075,340.3246652,383.201097,311.8089588,233.4871124,104.9908492,79.6933112,62.681104,11727.5881179,
"52502009",1632.5321014,1466.0009475,1663.3610174,1533.7470584,1473.5004361,1377.4161839,1343.2483822,1137.2828168,911.0321936,732.6771703,595.5004235,529.0560432,517.8919778,342.8828748,167.2012832,63.2356202,60.2033827,41.1951935,15587.9651066,
"52502010",1170.9108818,1009.2305564,1076.7651182,1064.417414,1000.731179,1049.3733984,1112.4822332,995.3293165,714.664107,485.9930571,366.4826421,373.8107266,331.5545685,327.9024362,208.4748192,100.2897664,54.9815456,53.2789384,11496.6727046,
"52502011",1279.342817,1200.1264674,1223.210488,1228.708978,1279.0113923,1318.9331381,1287.7042181,1175.9271201,863.0449626,698.5842463,483.0655935,440.7578687,446.6869406,359.4932151,220.0097225,108.6605403,62.681104,50.1448832,13726.0936958,
