SuperWEB2(tm)

"Migration"
"Geography 2016 by Citizenship"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Citizenship","yes","no","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",10659.4321,29.6361,66.58421,13,10768.65241,
"52502002 : Ward 2",9184.45523,146.58544,88.32935,13,9432.37002,
"52502003 : Ward 3",7542.99705,394.0319,39.49876,205,8181.52771,
"52502004 : Ward 4",6436.07153,132.16556,66.01136,0,6634.24845,
"52502005 : Ward 5",9709.59986,189.74165,58.75015,0,9958.09166,
"52502006 : Ward 6",11692.16581,19.7555,102.53362,2,11816.45493,
"52502007 : Ward 7",11564.51912,31.88545,39.9438,0,11636.34837,
"52502008 : Ward 8",8789.02673,54.11232,280.827,0,9123.96605,
"52502009 : Ward 9",11723.546,41.72556,62.01689,0,11827.28845,
"52502010 : Ward 10",8862.40135,66.9204,12.2994,0,8941.62115,
"52502011 : Ward 11",8941.59279,98.78226,80.74072,0,9121.11577,
"52502012 : Ward 12",9310.28949,23.9115,85.8206,0,9420.02159,
"52502013 : Ward 13",8473.76869,48.28425,19.58634,0,8541.63928,
"52502014 : Ward 14",16659.37089,114.34066,31.68254,0,16805.39409,
"52502015 : Ward 15",11493.86932,43.95032,37.33825,0,11575.15789,
"52502016 : Ward 16",14359.44705,55.2777,41.04192,0,14455.76667,
"52502017 : Ward 17",12683.64773,91.34543,59.1982,0,12834.19136,
"52502018 : Ward 18",8715.10075,33.90971,7.19866,0,8756.20912,
"52502019 : Ward 19",9825.31777,169.66757,22.54468,0,10017.53002,
"52502020 : Ward 20",9545.51373,87.22642,63.22273,0,9695.96288,
"52502021 : Ward 21",10148.59163,89.08296,53.14908,1000,11290.82367,
"52502022 : Ward 22",8434.75353,29.02381,17.88741,295,8776.66475,
"52502023 : Ward 23",10458.03421,81.89085,70.37789,6,10616.30295,
"52502024 : Ward 24",11566.03411,64.1917,186.012,1,11817.23781,
"52502025 : Ward 25",8070.13497,477.17531,10.98964,43,8601.29992,
"52502026 : Ward 26",13323.48606,27.86103,26.41723,0,13377.76432,
"52502027 : Ward 27",10853.45667,142.7915,35.05527,0,11031.30344,
"52502028 : Ward 28",8829.24169,42.47973,32.09303,24,8927.81445,
"52502029 : Ward 29",10948.94065,87.88189,27.74855,0,11064.57109,
"52502030 : Ward 30",9142.21804,25.13556,17.89604,0,9185.24964,
"52502031 : Ward 31",11294.70981,47.18078,36.67019,0,11378.56078,
"52502032 : Ward 32",11821.39789,83.87628,14.52787,0,11919.80204,
"52502033 : Ward 33",12241.38278,22.95411,97.46961,7,12368.8065,
"52502034 : Ward 34",11520.14395,334.71376,93.33728,1388,13336.19499,
"Total",354824.65898,3429.49497,1984.80027,2997,363235.95422,


(c) Copyright Statistics South Africa
