SuperWEB2(tm)

"Ward by Sex Estimates"
"Ward 2022 by Sex"
"Counting: Population estimates"

Filters:
"Default Summation","Population estimates"

"Sex","Male","Female","Total",
"Ward 2022",
"52502001",6163.4780262,6399.7096171,12563.1876433,
"52502002",6237.551525,6777.1976103,13014.7491353,
"52502003",5287.1199148,5409.084097,10696.2040118,
"52502004",5140.9832241,5451.9240128,10592.9072369,
"52502005",6401.2561572,7363.4239866,13764.6801438,
"52502006",11900.019807,12903.7805,24803.800307,
"52502007",10020.840691,11599.816721,21620.657412,
"52502008",5673.7494677,6053.8386503,11727.588118,
"52502009",7205.260339,8382.7047676,15587.9651066,
"52502010",5364.6951986,6131.977506,11496.6727046,
"52502011",6489.5734636,7236.5202321,13726.0936957,
"52502012",7219.5386844,7734.5326726,14954.071357,
"52502013",4515.5433567,4909.5221205,9425.0654772,
"52502014",8406.0891895,9630.4722759,18036.5614654,
"52502015",9139.2686223,9630.158026,18769.4266483,
"52502016",8196.9358461,9041.6144744,17238.5503205,
"52502017",7874.4439767,8405.3803964,16279.8243731,
"52502018",7311.7908771,7877.3809997,15189.1718768,
"52502019",6366.6361496,7636.1206126,14002.7567622,
"52502020",6857.2376582,7065.9372426,13923.1749008,
"52502021",10085.091048,10418.290583,20503.381631,
"52502022",5066.1016482,5781.7476042,10847.8492524,
"52502023",7026.695256,7350.5668468,14377.2621028,
"52502024",6051.0935018,7060.9112486,13112.0047504,
"52502025",4859.8116655,4368.6242314,9228.4358969,
"52502026",7646.6465592,7960.0774484,15606.7240076,
"52502027",7218.8797448,7909.2431052,15128.12285,
"52502028",5136.0600835,5763.0724857,10899.1325692,
"52502029",5897.1152884,6552.7445442,12449.8598326,
"52502030",6018.7522091,6497.7033316,12516.4555407,
"52502031",7764.8174558,8130.1103375,15894.9277933,
"52502032",8774.1005529,9420.4769483,18194.5775012,
"52502033",10785.09717,11885.065457,22670.162627,
"52502034",9331.6085524,9536.6658045,18868.2743569,
"Total",243433.8829104,264276.3964979,507710.2794083,


(c) Copyright Statistics South Africa
