SuperWEB2(tm)

"Disability"
"Geography 2016 by Assistive devices and medication-Chronic medication"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Assistive devices and medication-Chronic medication","Yes","No","do not know","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",714.32247,9511.06068,59.11129,471.15797,13,10768.65241,
"52502002 : Ward 2",2120.79014,6775.65798,36.71747,486.20443,13,9432.37002,
"52502003 : Ward 3",1729.76718,5922.31846,24.83978,299.60229,205,8181.52771,
"52502004 : Ward 4",1267.27131,5015.78534,20.51244,320.67936,10,6634.24845,
"52502005 : Ward 5",1195.26795,8220.87459,19.84901,522.10011,0,9958.09166,
"52502006 : Ward 6",896.40494,10361.3013,256.3176,292.43109,10,11816.45493,
"52502007 : Ward 7",881.46534,10423.73104,36.6885,294.46349,0,11636.34837,
"52502008 : Ward 8",1076.87824,7321.94982,41.33224,683.80575,0,9123.96605,
"52502009 : Ward 9",858.24729,10680.9345,28.18842,259.91824,0,11827.28845,
"52502010 : Ward 10",666.86913,7782.02327,271.45532,221.27343,0,8941.62115,
"52502011 : Ward 11",818.052,7969.04967,30.06668,303.94742,0,9121.11577,
"52502012 : Ward 12",676.05267,8339.81346,47.10427,357.05119,0,9420.02159,
"52502013 : Ward 13",717.30744,7025.69995,14.7883,783.84359,0,8541.63928,
"52502014 : Ward 14",1542.34506,14740.35968,97.79556,424.89379,0,16805.39409,
"52502015 : Ward 15",826.17943,10524.67786,34.13355,190.16705,0,11575.15789,
"52502016 : Ward 16",1021.16929,12997.33002,33.29308,403.97428,0,14455.76667,
"52502017 : Ward 17",1174.31515,11343.04232,46.59239,270.2415,0,12834.19136,
"52502018 : Ward 18",852.77476,7567.79255,65.03954,270.60227,0,8756.20912,
"52502019 : Ward 19",1422.30148,8288.85899,47.48227,258.88728,0,10017.53002,
"52502020 : Ward 20",1241.30011,8051.84819,54.77966,348.03492,0,9695.96288,
"52502021 : Ward 21",1267.63937,8727.74011,34.12545,254.31874,1007,11290.82367,
"52502022 : Ward 22",912.76631,7359.04045,28.95133,180.90666,295,8776.66475,
"52502023 : Ward 23",1228.13399,8976.53422,26.46222,379.17252,6,10616.30295,
"52502024 : Ward 24",1501.86722,9411.02465,68.89835,834.44759,1,11817.23781,
"52502025 : Ward 25",1267.38421,7070.11225,47.4359,151.36756,65,8601.29992,
"52502026 : Ward 26",1360.56188,11752.14483,44.12683,220.93078,0,13377.76432,
"52502027 : Ward 27",1204.46573,9377.66831,39.0411,410.1283,0,11031.30344,
"52502028 : Ward 28",1166.01995,7386.38142,51.67126,299.74182,24,8927.81445,
"52502029 : Ward 29",895.3882,9798.57366,38.91066,331.69857,0,11064.57109,
"52502030 : Ward 30",925.01209,7902.54754,117.69548,239.99453,0,9185.24964,
"52502031 : Ward 31",790.74983,10217.08387,70.01184,300.71524,0,11378.56078,
"52502032 : Ward 32",1068.35668,10323.04459,172.52814,355.87263,0,11919.80204,
"52502033 : Ward 33",948.46406,10957.27682,113.11353,340.95209,9,12368.8065,
"52502034 : Ward 34",1496.13791,9920.49449,52.24984,377.31275,1490,13336.19499,
"Total",37732.02881,308043.77688,2171.3093,12140.83923,3148,363235.95422,


(c) Copyright Statistics South Africa
