SuperWEB2(tm)

"Disability"
"Geography 2016 by Assistive devices and medication-Hearing aid"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Assistive devices and medication-Hearing aid","Yes","No","do not know","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",175.86389,10085.02715,58.05588,436.70549,13,10768.65241,
"52502002 : Ward 2",410.33515,8467.35312,36.37176,505.30999,13,9432.37002,
"52502003 : Ward 3",277.62177,7412.32923,43.35907,243.21764,205,8181.52771,
"52502004 : Ward 4",247.54255,6019.81003,34.32858,322.56729,10,6634.24845,
"52502005 : Ward 5",485.40954,8922.34254,18.70367,531.63591,0,9958.09166,
"52502006 : Ward 6",214.44096,11054.06559,241.42203,296.52635,10,11816.45493,
"52502007 : Ward 7",220.19974,11113.94894,42.8378,259.36189,0,11636.34837,
"52502008 : Ward 8",178.49001,8031.61336,52.52765,861.33503,0,9123.96605,
"52502009 : Ward 9",165.71681,11363.2202,42.29574,256.0557,0,11827.28845,
"52502010 : Ward 10",114.64405,8336.74678,264.6604,225.56992,0,8941.62115,
"52502011 : Ward 11",151.77771,8642.66416,29.7288,296.9451,0,9121.11577,
"52502012 : Ward 12",223.69323,8765.61738,56.67303,374.03795,0,9420.02159,
"52502013 : Ward 13",96.203,7657.68407,19.69165,768.06056,0,8541.63928,
"52502014 : Ward 14",234.70204,16010.92933,116.53813,443.22459,0,16805.39409,
"52502015 : Ward 15",99.83374,11290.53428,31.76228,153.02759,0,11575.15789,
"52502016 : Ward 16",279.4263,13738.41977,27.9822,409.9384,0,14455.76667,
"52502017 : Ward 17",211.56304,12262.19167,66.79662,293.64003,0,12834.19136,
"52502018 : Ward 18",135.66185,8323.83788,54.46193,242.24746,0,8756.20912,
"52502019 : Ward 19",515.22236,9188.65623,41.60157,272.04986,0,10017.53002,
"52502020 : Ward 20",209.61718,9112.66648,63.97556,309.70366,0,9695.96288,
"52502021 : Ward 21",261.34576,9751.57875,35.99373,234.90543,1007,11290.82367,
"52502022 : Ward 22",165.13189,8130.54509,35.48981,150.49796,295,8776.66475,
"52502023 : Ward 23",228.94403,9960.52303,46.42221,374.41368,6,10616.30295,
"52502024 : Ward 24",336.82188,10581.44292,48.79596,849.17705,1,11817.23781,
"52502025 : Ward 25",261.56279,8067.62022,47.50206,159.61485,65,8601.29992,
"52502026 : Ward 26",140.09323,12994.51926,64.4751,178.67673,0,13377.76432,
"52502027 : Ward 27",232.82167,10334.11315,35.83884,428.52978,0,11031.30344,
"52502028 : Ward 28",165.82166,8387.36415,40.83789,309.79075,24,8927.81445,
"52502029 : Ward 29",178.13095,10594.9961,19.303,272.14104,0,11064.57109,
"52502030 : Ward 30",221.82537,8617.2425,134.19966,211.98211,0,9185.24964,
"52502031 : Ward 31",294.10174,10729.55639,77.70904,277.19361,0,11378.56078,
"52502032 : Ward 32",180.32669,11219.85656,168.06131,351.55748,0,11919.80204,
"52502033 : Ward 33",196.92357,11667.98413,110.16936,384.72944,9,12368.8065,
"52502034 : Ward 34",304.6471,11135.94487,52.08115,353.52187,1490,13336.19499,
"Total",7816.46325,337972.94531,2260.65347,12037.89219,3148,363235.95422,


(c) Copyright Statistics South Africa
