SuperWEB2(tm)

"Disability"
"Geography 2016 by Hearing"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Hearing","No difficulty","Some difficulty","A lot of difficulty","Cannot do at all","Do not know","Cannot yet be determined","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",9460.57875,416.2763,43.55112,20.39415,8.23961,462.83986,343.77262,13,10768.65241,
"52502002 : Ward 2",8392.42642,295.26746,43.25373,14.6598,3.67674,202.63109,467.45478,13,9432.37002,
"52502003 : Ward 3",7238.47175,239.9279,40.45141,21.99339,3.18295,181.18137,251.31894,205,8181.52771,
"52502004 : Ward 4",5973.56736,199.5458,25.48179,11.02585,2.41044,143.20665,269.01056,10,6634.24845,
"52502005 : Ward 5",9026.01436,147.42419,14.85865,10.97345,3.78098,249.82324,505.21679,0,9958.09166,
"52502006 : Ward 6",10499.3069,328.74243,86.57084,25.80317,9.45813,600.9425,255.63096,10,11816.45493,
"52502007 : Ward 7",10367.60535,377.8203,31.4524,12.02478,3.65073,593.95928,249.83553,0,11636.34837,
"52502008 : Ward 8",7704.88378,344.89242,50.13762,7.37834,25.49883,326.62787,664.54719,0,9123.96605,
"52502009 : Ward 9",10545.97431,343.9431,100.24925,23.15254,8.75116,540.80759,264.4105,0,11827.28845,
"52502010 : Ward 10",8046.60655,136.37047,50.04058,21.63878,2.39718,433.4289,251.13869,0,8941.62115,
"52502011 : Ward 11",8137.35948,192.07208,93.78217,19.6136,14.63636,343.60619,320.04589,0,9121.11577,
"52502012 : Ward 12",8259.85619,238.10436,38.90642,13.0917,10.8846,456.59853,402.57979,0,9420.02159,
"52502013 : Ward 13",7704.83914,287.37723,41.41184,18.2001,1.18706,342.51596,146.10795,0,8541.63928,
"52502014 : Ward 14",15099.89104,420.97421,57.56292,21.92674,49.2962,796.44948,359.2935,0,16805.39409,
"52502015 : Ward 15",10506.00521,238.88476,52.31664,39.85654,30.78648,551.86725,155.44101,0,11575.15789,
"52502016 : Ward 16",12633.69709,479.24575,133.83722,47.89181,18.24561,719.75259,423.0966,0,14455.76667,
"52502017 : Ward 17",11534.61849,389.50381,60.28231,29.30718,1.21423,508.94004,310.3253,0,12834.19136,
"52502018 : Ward 18",7699.80378,227.73699,133.63622,30.33059,4.66478,449.27224,210.76452,0,8756.20912,
"52502019 : Ward 19",8879.2226,311.56036,43.41799,62.79185,55.97472,437.30809,227.25441,0,10017.53002,
"52502020 : Ward 20",8569.19003,350.37734,63.58138,20.61474,12.2896,376.37905,303.53074,0,9695.96288,
"52502021 : Ward 21",9246.54303,351.55508,83.5784,11.4134,7.17014,348.93109,234.63253,1007,11290.82367,
"52502022 : Ward 22",7815.91221,128.68049,22.68999,37.06452,11.00949,299.89488,166.41317,295,8776.66475,
"52502023 : Ward 23",9554.94251,199.23038,65.73715,20.74632,30.50305,409.16326,329.98028,6,10616.30295,
"52502024 : Ward 24",10283.43618,285.93617,36.9541,15.88784,29.18014,297.48635,867.35703,1,11817.23781,
"52502025 : Ward 25",7760.10777,248.44978,51.40891,15.36418,9.59123,309.07492,142.30313,65,8601.29992,
"52502026 : Ward 26",12375.69223,231.79389,39.94396,13.47666,2.40129,540.05832,174.39797,0,13377.76432,
"52502027 : Ward 27",9389.16894,211.11526,53.08229,548.2626,24.23026,405.55282,399.89127,0,11031.30344,
"52502028 : Ward 28",8183.10672,138.17099,23.97259,31.47807,4.85692,258.56746,263.6617,24,8927.81445,
"52502029 : Ward 29",10089.71276,254.49486,37.8654,12.40973,9.76809,421.33781,238.98244,0,11064.57109,
"52502030 : Ward 30",8267.66133,281.48437,61.62901,40.36348,14.65634,365.18902,154.26609,0,9185.24964,
"52502031 : Ward 31",10112.51445,341.94245,83.91395,43.56794,7.26223,558.55453,230.80523,0,11378.56078,
"52502032 : Ward 32",10632.7362,367.31059,67.55597,22.09631,12.19655,509.9557,307.95072,0,11919.80204,
"52502033 : Ward 33",10823.75094,381.84445,80.24398,31.30162,22.7592,614.42798,405.47833,9,12368.8065,
"52502034 : Ward 34",10665.0094,354.13816,39.4197,13.27105,14.24149,430.54247,329.57272,1490,13336.19499,
"Total",321480.21325,9742.19418,1952.7779,1329.37282,470.05281,14486.87438,10626.46888,3148,363235.95422,


(c) Copyright Statistics South Africa
