SuperWEB2(tm)

"Disability"
"Geography 2016 by Seeing"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Seeing","No difficulty","Some difficulty","A lot of difficulty","Cannot do at all","Do not know","Cannot yet be determined","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",8825.07394,994.30369,80.50322,14.57029,9.5986,473.14254,358.46013,13,10768.65241,
"52502002 : Ward 2",7437.18243,1282.5976,42.58735,8.53755,8.65613,202.61974,437.18922,13,9432.37002,
"52502003 : Ward 3",6304.66638,1149.93766,104.97754,15.30143,4.18295,184.57855,212.8832,205,8181.52771,
"52502004 : Ward 4",5357.5687,788.041,64.15194,4.99755,1,145.65781,262.83145,10,6634.24845,
"52502005 : Ward 5",8195.85765,936.17042,105.92316,7.24019,2.57576,252.26305,458.06143,0,9958.09166,
"52502006 : Ward 6",9769.50164,907.17265,235.24926,23.23743,7.21973,598.506,265.56822,10,11816.45493,
"52502007 : Ward 7",9380.61848,1307.79718,115.33462,19.56321,9.85809,596.38774,206.78905,0,11636.34837,
"52502008 : Ward 8",6996.91628,972.8402,110.16298,21.06644,9.8068,336.34171,676.83164,0,9123.96605,
"52502009 : Ward 9",9452.18317,1206.36513,346.04738,26.67058,0,554.20432,241.81787,0,11827.28845,
"52502010 : Ward 10",7335.82344,737.4685,180.75761,17.99609,7.19976,435.85736,226.51839,0,8941.62115,
"52502011 : Ward 11",7334.24355,706.92126,386.58466,19.56915,20.92893,346.03465,306.83357,0,9121.11577,
"52502012 : Ward 12",7773.76023,651.03454,127.0876,18.82995,10.74301,454.16203,384.40423,0,9420.02159,
"52502013 : Ward 13",7067.57406,804.19026,148.41196,19.30163,3.58835,348.59113,149.98189,0,8541.63928,
"52502014 : Ward 14",13755.90871,1561.44926,284.45913,23.03229,49.24186,801.3064,329.99644,0,16805.39409,
"52502015 : Ward 15",9877.19472,713.76396,202.74324,29.19386,29.497,560.395,162.37011,0,11575.15789,
"52502016 : Ward 16",11844.19214,1076.95829,307.49432,43.48112,14.59086,728.27632,440.77362,0,14455.76667,
"52502017 : Ward 17",10615.95735,1222.45306,166.94726,25.62462,1.21423,512.59479,289.40005,0,12834.19136,
"52502018 : Ward 18",7167.11352,654.60414,230.52271,28.76342,2.30624,446.84378,226.05531,0,8756.20912,
"52502019 : Ward 19",7865.13895,1155.67687,261.97532,52.05493,49.87561,439.52232,193.28602,0,10017.53002,
"52502020 : Ward 20",7746.24393,1011.1265,215.41622,17.06501,16.13384,386.09289,303.88449,0,9695.96288,
"52502021 : Ward 21",8375.67747,974.64148,320.41682,7.17014,10.10875,349.3416,246.46741,1007,11290.82367,
"52502022 : Ward 22",7277.19029,574.63793,103.32404,37.14759,9.86114,301.10911,178.39465,295,8776.66475,
"52502023 : Ward 23",8706.94546,893.99933,236.96746,22.88998,13.68819,432.23363,303.5789,6,10616.30295,
"52502024 : Ward 24",9384.00873,1103.62003,218.6847,24.36184,14.70078,315.6998,755.16193,1,11817.23781,
"52502025 : Ward 25",7247.9896,733.23207,107.98564,12.7094,8.34294,310.32043,115.71984,65,8601.29992,
"52502026 : Ward 26",11045.14133,1402.47813,191.89579,10.95515,2.42846,538.84409,186.02137,0,13377.76432,
"52502027 : Ward 27",8386.71809,1129.29349,230.42501,508.33596,6.04398,417.69512,352.79179,0,11031.30344,
"52502028 : Ward 28",7544.77961,758.94577,70.15985,23.67102,4.85692,258.59874,242.80254,24,8927.81445,
"52502029 : Ward 29",9205.39265,1078.60575,85.43431,19.65057,13.63385,418.90935,242.94461,0,11064.57109,
"52502030 : Ward 30",7846.97233,640.36238,123.21598,27.90803,10.87775,371.22792,164.68525,0,9185.24964,
"52502031 : Ward 31",9242.18454,999.50013,297.15192,38.34818,7.27115,558.55453,235.55033,0,11378.56078,
"52502032 : Ward 32",9699.9533,1105.60365,284.82062,28.09419,4.86681,530.59761,265.86586,0,11919.80204,
"52502033 : Ward 33",10138.64681,967.88368,212.54018,29.39444,23.96342,616.86448,370.51349,9,12368.8065,
"52502034 : Ward 34",9781.74912,1237.38141,87.90498,11.86417,6.02405,430.35952,290.91174,1490,13336.19499,
"Total",293986.0686,33441.0574,6288.26478,1238.5974,394.88594,14653.73406,10085.34604,3148,363235.95422,


(c) Copyright Statistics South Africa
