SuperWEB2(tm)

"Disability"
"Geography 2016 by Self Care"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Self Care","No difficulty","Some difficulty","A lot of difficulty","Cannot do at all","Do not know","Cannot yet be determined","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",8556.11073,181.11445,49.40348,113.87536,12.16,1409.92411,433.06428,13,10768.65241,
"52502002 : Ward 2",8092.57806,92.63821,30.00303,49.92643,13.40704,623.55819,517.25906,13,9432.37002,
"52502003 : Ward 3",6866.58605,118.08745,27.90066,81.25809,6.42513,536.07518,340.19515,205,8181.52771,
"52502004 : Ward 4",5656.21381,105.03186,22.07559,80.74998,9.70526,433.40845,317.0635,10,6634.24845,
"52502005 : Ward 5",8361.1873,124.02533,33.37836,107.97063,8.47244,703.04909,620.00851,0,9958.09166,
"52502006 : Ward 6",9338.98737,150.11679,59.23693,258.41359,35.83134,1679.91335,283.95556,10,11816.45493,
"52502007 : Ward 7",9285.33153,114.49371,38.12083,244.51521,16.8761,1696.59534,240.41565,0,11636.34837,
"52502008 : Ward 8",7112.27279,110.37353,36.37965,96.30718,70.53384,984.12888,713.97018,0,9123.96605,
"52502009 : Ward 9",9553.17497,167.23727,28.2933,143.96348,13.25262,1624.30252,297.06429,0,11827.28845,
"52502010 : Ward 10",7080.80057,205.70837,108.79031,190.05335,7.17259,1053.06007,296.03589,0,8941.62115,
"52502011 : Ward 11",7360.20348,146.0357,62.37045,123.9614,48.7176,1020.68716,359.13998,0,9121.11577,
"52502012 : Ward 12",7238.98242,284.54649,62.44942,138.87844,17.92713,1217.02737,460.21032,0,9420.02159,
"52502013 : Ward 13",7086.98831,91.94039,25.6548,41.15645,5.00422,1121.59187,169.30324,0,8541.63928,
"52502014 : Ward 14",13618.12721,294.38414,77.19722,209.92639,46.83874,2124.87116,434.04923,0,16805.39409,
"52502015 : Ward 15",9124.3967,239.91299,75.00484,373.2009,74.38154,1477.10536,211.15556,0,11575.15789,
"52502016 : Ward 16",11171.61779,213.74027,123.69896,401.0906,71.02671,1888.83298,585.75936,0,14455.76667,
"52502017 : Ward 17",10572.22069,227.00702,45.99999,268.1036,14.79757,1402.67405,303.38844,0,12834.19136,
"52502018 : Ward 18",7037.10379,97.4248,46.87612,255.44853,10.61561,1061.96087,246.7794,0,8756.20912,
"52502019 : Ward 19",8194.00251,179.56686,19.37202,171.87019,74.10504,1129.51316,249.10024,0,10017.53002,
"52502020 : Ward 20",7844.53146,143.51164,35.10952,233.90731,30.5573,1041.16036,367.18529,0,9695.96288,
"52502021 : Ward 21",8555.42556,159.23156,52.29492,210.21618,41.62071,982.25843,282.77631,1007,11290.82367,
"52502022 : Ward 22",7231.20191,56.94976,25.62858,86.37314,23.01603,878.95492,179.54041,295,8776.66475,
"52502023 : Ward 23",8696.83994,94.96318,31.87059,150.2053,122.18066,1062.56596,451.67732,6,10616.30295,
"52502024 : Ward 24",9559.08128,150.21032,39.23856,208.66455,49.59315,880.79541,928.65454,1,11817.23781,
"52502025 : Ward 25",7202.67288,128.2432,31.03712,84.67097,49.81092,861.87119,177.99364,65,8601.29992,
"52502026 : Ward 26",11136.20764,194.40441,58.96087,192.47605,29.12424,1537.95009,228.64102,0,13377.76432,
"52502027 : Ward 27",8931.89674,108.96989,40.84026,128.89983,47.30063,1162.14745,611.24864,0,11031.30344,
"52502028 : Ward 28",7473.79749,106.72608,20.40883,76.38754,17.18514,876.82628,332.48309,24,8927.81445,
"52502029 : Ward 29",9182.80434,136.72019,46.33366,82.66778,31.71719,1294.29878,290.02915,0,11064.57109,
"52502030 : Ward 30",7396.50964,162.56092,79.42987,170.52627,34.64197,1145.98981,195.59116,0,9185.24964,
"52502031 : Ward 31",9127.60246,165.17801,39.28647,120.56069,9.57062,1632.94969,283.41284,0,11378.56078,
"52502032 : Ward 32",9423.41134,353.32513,84.18226,141.24007,100.26486,1409.62228,407.7561,0,11919.80204,
"52502033 : Ward 33",9392.06893,306.55131,59.38924,400.20755,159.62121,1670.98224,370.98602,9,12368.8065,
"52502034 : Ward 34",9689.04765,210.59436,27.32734,186.23141,21.98981,1239.5274,471.47702,1490,13336.19499,
"Total",292149.98534,5621.52559,1643.54405,5823.90444,1325.44496,40866.17945,12657.37039,3148,363235.95422,


(c) Copyright Statistics South Africa
