SuperWEB2(tm)

"Dwellings"
"Geography 2016 by Geo type"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Geo type","Urban area","Tribal or Traditional area","Farm area","Total",
"Geography 2016",
"52502001 : Ward 1",955.68908,0,1221.74303,2177.43211,
"52502002 : Ward 2",3159.1531,0,0,3159.1531,
"52502003 : Ward 3",2411.27087,0,0,2411.27087,
"52502004 : Ward 4",2339.19367,0,0,2339.19367,
"52502005 : Ward 5",3065.40495,0,0,3065.40495,
"52502006 : Ward 6",0,2603.06712,0,2603.06712,
"52502007 : Ward 7",875.08532,1737.54398,0,2612.6293,
"52502008 : Ward 8",1874.27067,0,0,1874.27067,
"52502009 : Ward 9",2345.56585,619.06327,0,2964.62912,
"52502010 : Ward 10",1853.81321,0,0,1853.81321,
"52502011 : Ward 11",2109.77098,0,0,2109.77098,
"52502012 : Ward 12",0,1857.09798,0,1857.09798,
"52502013 : Ward 13",1581.33549,125.61457,0,1706.95006,
"52502014 : Ward 14",4172.35723,0,0,4172.35723,
"52502015 : Ward 15",0,2497.31323,0,2497.31323,
"52502016 : Ward 16",0,2864.25378,0,2864.25378,
"52502017 : Ward 17",2420.59577,331.52561,0,2752.12138,
"52502018 : Ward 18",358.01946,1372.72468,0,1730.74414,
"52502019 : Ward 19",2516.19348,0,0,2516.19348,
"52502020 : Ward 20",2279.95599,0,0,2279.95599,
"52502021 : Ward 21",648.42528,0,1866.47356,2514.89884,
"52502022 : Ward 22",1975.3955,0,0,1975.3955,
"52502023 : Ward 23",2165.54249,0,0,2165.54249,
"52502024 : Ward 24",2866.42822,0,0,2866.42822,
"52502025 : Ward 25",2992.81752,0,0,2992.81752,
"52502026 : Ward 26",3035.81172,0,0,3035.81172,
"52502027 : Ward 27",2505.7146,0,0,2505.7146,
"52502028 : Ward 28",1947.51881,0,0,1947.51881,
"52502029 : Ward 29",2551.56675,0,0,2551.56675,
"52502030 : Ward 30",1081.77967,1004.88685,0,2086.66652,
"52502031 : Ward 31",981.8867,1650.03099,1.7998,2633.71749,
"52502032 : Ward 32",2803.2653,0,0,2803.2653,
"52502033 : Ward 33",0,2678.47536,0,2678.47536,
"52502034 : Ward 34",3718.90941,0,0,3718.90941,
"Total",63592.73709,19341.59742,3090.01639,86024.3509,


(c) Copyright Statistics South Africa
