SuperWEB2(tm)

"Dwellings"
"Geography 2016 by Type of main dwelling - main"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Type of main dwelling - main","House or brick/concrete block structure on a separate stand or yard","Traditional dwelling/hut/structure made of traditional materials","Flat or apartment in a  block of flats","Cluster house in complex","Town house (semi-detached house in complex)","Semi-detached house","House/flat/room in back yard","Informal dwelling/shack in back yard","Informal dwelling/shack NOT in back yard; e.g. in an informal/squatter settlement or on farm","Room/flatlet on a property or a larger dwelling/servants'quarters/granny flat","Caravan or tent","Other","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",759.4044,1040.97061,29.23623,3.42595,5.36842,4.24104,72.05861,137.7293,56.59634,3.84387,7.1992,21.19086,22.48277,13.68451,2177.43211,
"52502002 : Ward 2",2394.13323,5.78045,69.30349,116.68574,90.43561,1.24969,39.54242,5.31487,1.24969,33.45752,4.71278,6.01445,50.41512,340.85804,3159.1531,
"52502003 : Ward 3",1979.23662,5.6608,280.14914,3.51507,77.51078,1,9.31487,8.78178,1.24969,3.21983,3.04949,10.86249,11.99184,15.72847,2411.27087,
"52502004 : Ward 4",1758.70823,8.78045,209.45276,17.11094,142.4719,1.13269,14.7228,1,5.98198,7.60813,1.24969,6.2266,35.02505,129.72245,2339.19367,
"52502005 : Ward 5",2432.57896,86.17623,90.96719,0,213.11961,0,42.58129,11.91198,10.60564,7.60813,0,9.56207,59.08384,101.21001,3065.40495,
"52502006 : Ward 6",1920.7292,120.92692,147.44293,6.23027,4.19832,23.11744,37.77801,161.78198,128.28442,5.28803,0,24.74396,19.46493,3.08071,2603.06712,
"52502007 : Ward 7",2271.63633,52.11652,28.75724,1.08071,0,0,13.34981,90.32282,121.62043,1.24969,0,3.12211,26.32415,3.04949,2612.6293,
"52502008 : Ward 8",1689.46013,7.32215,11.00998,1.13269,0,0,131.51836,8.82535,3.30895,0,1.13269,6.76278,7.90473,5.89286,1874.27067,
"52502009 : Ward 9",2330.4775,86.12813,17.65642,0,2.11978,1.02295,95.2173,156.92865,257.83412,0,0,4.0132,10.90517,2.3259,2964.62912,
"52502010 : Ward 10",1759.93029,6.81943,14.4791,2.26538,1.13269,0,7.93125,31.89903,7.42431,0,1.7998,2.93249,17.19944,0,1853.81321,
"52502011 : Ward 11",1878.43543,21.76139,53.69522,29.86111,12.34178,7.67451,19.79261,21.21264,6.24144,2.12428,0,6.99767,7.18105,42.45185,2109.77098,
"52502012 : Ward 12",1704.58281,21.92571,17.81211,0,0,1.7998,1.7998,32.84848,43.94884,0,2.27264,4.1257,19.96038,6.02171,1857.09798,
"52502013 : Ward 13",1636.55834,3.40533,2.93249,4.46952,0,0,11.91198,16.5965,2.2134,0,0,11.10836,16.62145,1.13269,1706.95006,
"52502014 : Ward 14",3798.09317,25.80842,236.37192,20.50703,9.05046,5.813,9.27142,32.50813,5.05677,0,2.93249,8.674,14.08824,4.18218,4172.35723,
"52502015 : Ward 15",1930.99053,150.41408,52.63723,1.07621,4.6608,1.02295,142.51746,60.83102,118.79202,0,0,15.50371,15.99121,2.87601,2497.31323,
"52502016 : Ward 16",2498.65839,48.62487,13.79468,1.07621,1.7998,12.94622,2.10366,81.50183,173.54245,0,0,11.16027,16.16939,2.87601,2864.25378,
"52502017 : Ward 17",2656.0621,11.68524,12.31768,8.74549,0,0,24.78436,7.02555,9.46571,0,0,2.29326,19.74199,0,2752.12138,
"52502018 : Ward 18",1601.56468,19.23804,8.32852,1.02295,0,1.07621,9.32761,38.18266,27.25385,2.10366,0,1.7998,20.84616,0,1730.74414,
"52502019 : Ward 19",1968.16017,50.12389,5.37989,34.80503,1.13269,1.13269,196.44397,34.77374,204.93728,1.7998,1.13269,4.93249,5.22575,6.2134,2516.19348,
"52502020 : Ward 20",2120.5086,0,15.8002,0,0,15.48498,23.40569,10.71427,58.79199,3.25697,1.13269,4.09306,12.73128,14.03626,2279.95599,
"52502021 : Ward 21",1574.00474,524.76789,20.39964,7.98604,3.5996,5.14938,30.54886,40.14668,81.86926,36.15537,23.37594,38.51703,20.71506,107.66335,2514.89884,
"52502022 : Ward 22",1826.68395,2.17626,1.04357,0,1.08071,3.04949,108.94512,2.88051,1.24969,4.1302,0,10.74215,7.81425,5.5996,1975.3955,
"52502023 : Ward 23",1697.76401,11.44445,1.13269,1.7998,0,2.2134,360.23532,34.27487,6.86116,21.19696,3.41111,3.33683,17.9394,3.93249,2165.54249,
"52502024 : Ward 24",2591.78084,4.96765,10.50815,6.66808,25.8845,4.84929,111.75278,21.88765,3.04949,3.04949,0,14.33583,40.23929,27.45518,2866.42822,
"52502025 : Ward 25",1400.96226,64.7341,391.22939,12.72147,24.06608,6.0855,33.00348,295.10897,694.91829,1.7998,0,9.56082,0,58.62736,2992.81752,
"52502026 : Ward 26",2834.37607,8.69266,77.61696,0,0,1.24969,66.69312,26.62597,1.7998,1.24969,0,1.7998,14.70796,1,3035.81172,
"52502027 : Ward 27",2174.94272,13.86728,80.6725,16.29833,0,7.43125,153.73838,17.53649,7.52368,2.93249,0,6.5938,16.99799,7.17969,2505.7146,
"52502028 : Ward 28",1848.10589,2.12428,1.13269,0,5.29213,0,41.01962,12.2513,1.7998,1.08071,1.13269,3.5996,23.92333,6.05677,1947.51881,
"52502029 : Ward 29",2367.83611,9.90139,24.85625,6.18946,0,10.22029,70.40618,38.29928,3.92408,1.7998,0,1.24969,12.58504,4.29918,2551.56675,
"52502030 : Ward 30",1935.06708,18.65544,8.10178,0,0,2.38238,29.18413,51.32647,35.06003,1.13269,0,1.7998,3.95672,0,2086.66652,
"52502031 : Ward 31",1821.03778,49.95552,34.62621,10.82238,1.02295,62.46108,119.67822,245.85611,252.24649,1.02295,0,28.58496,5.37989,1.02295,2633.71749,
"52502032 : Ward 32",2574.6761,22.0919,21.03341,0,0,8.72598,5.05677,52.71659,79.13419,1.7998,1.08071,19.90124,12.46209,4.58652,2803.2653,
