SuperWEB2(tm)

"Household Head"
"Geography 2016 by Employment status of head of the HOUSE"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Employment status of head of the HOUSE","Head Employed","Head Unemployed","Head Discouraged work-seeker","Head Other not economically active","Age less than 15 years","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",835.1229,201.23399,168.20756,948.83697,22.03069,2,2177.43211,
"52502002 : Ward 2",2234.94505,46.58876,7.14714,866.33946,1.13269,3,3159.1531,
"52502003 : Ward 3",1506.17248,83.95443,29.90607,786.15718,1.08071,4,2411.27087,
"52502004 : Ward 4",1676.12287,41.60506,9.66478,606.86847,4.93249,0,2339.19367,
"52502005 : Ward 5",1782.06806,152.90255,34.91936,1085.57178,9.9432,0,3065.40495,
"52502006 : Ward 6",546.73935,243.81622,244.08437,1526.47872,39.94846,2,2603.06712,
"52502007 : Ward 7",665.94733,413.31943,312.99142,1212.78683,7.58429,0,2612.6293,
"52502008 : Ward 8",415.69777,387.05148,148.13272,907.63581,15.75289,0,1874.27067,
"52502009 : Ward 9",1165.16322,503.22865,149.28461,1131.48416,15.46848,0,2964.62912,
"52502010 : Ward 10",541.85213,191.46975,95.10142,1012.45387,12.93604,0,1853.81321,
"52502011 : Ward 11",703.07864,160.47869,120.26044,1100.52962,25.42359,0,2109.77098,
"52502012 : Ward 12",344.41319,387.7517,116.66938,983.84762,24.41609,0,1857.09798,
"52502013 : Ward 13",421.54454,248.31039,79.32119,938.45158,19.32236,0,1706.95006,
"52502014 : Ward 14",1567.76008,653.97926,182.96535,1742.83707,24.81547,0,4172.35723,
"52502015 : Ward 15",553.17966,286.29346,460.78416,1189.69712,7.35883,0,2497.31323,
"52502016 : Ward 16",777.1418,425.33572,228.67631,1410.39269,22.70726,0,2864.25378,
"52502017 : Ward 17",604.47672,536.26497,176.21381,1406.81154,28.35434,0,2752.12138,
"52502018 : Ward 18",384.61146,288.63134,176.88471,859.6501,20.96653,0,1730.74414,
"52502019 : Ward 19",989.58721,291.53304,81.72816,1145.8168,7.52827,0,2516.19348,
"52502020 : Ward 20",682.06545,287.25608,49.4555,1246.23097,14.94799,0,2279.95599,
"52502021 : Ward 21",1483.92896,170.58879,73.50789,757.52232,19.35088,10,2514.89884,
"52502022 : Ward 22",809.14251,125.55995,64.50044,965.53164,8.66096,2,1975.3955,
"52502023 : Ward 23",683.55991,161.22517,43.43539,1251.50519,24.81683,1,2165.54249,
"52502024 : Ward 24",918.53044,229.58448,70.88955,1634.11768,12.30607,1,2866.42822,
"52502025 : Ward 25",1583.2112,333.77935,42.40755,1028.48693,2.93249,2,2992.81752,
"52502026 : Ward 26",1258.91013,387.25548,190.72547,1190.25968,8.66096,0,3035.81172,
"52502027 : Ward 27",1021.74775,239.16651,69.21369,1160.41634,15.17031,0,2505.7146,
"52502028 : Ward 28",474.68401,192.55755,95.80739,1176.52417,6.94569,1,1947.51881,
"52502029 : Ward 29",1012.09016,250.47196,72.42882,1210.81479,5.76102,0,2551.56675,
"52502030 : Ward 30",449.31721,178.58156,146.86836,1295.23834,16.66105,0,2086.66652,
"52502031 : Ward 31",769.1518,477.4564,55.41075,1308.18344,23.5151,0,2633.71749,
"52502032 : Ward 32",851.68987,379.52636,154.44381,1395.15266,22.4526,0,2803.2653,
"52502033 : Ward 33",525.33372,406.63372,286.40042,1440.06793,19.03957,1,2678.47536,
"52502034 : Ward 34",2119.54048,425.51791,211.95832,946.84321,3.04949,12,3718.90941,
"Total",32358.52806,9788.91016,4450.39631,38869.54268,515.97369,41,86024.3509,


(c) Copyright Statistics South Africa
