SuperWEB2(tm)

"Parental Survival"
"Age in completed years by Geography 2016 by Father alive then Mother Alive"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

" 0"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",9.67729,4.03525,
"52502002 : Ward 2",1.22558,1.22558,
"52502003 : Ward 3",1.21423,0,
"52502004 : Ward 4",2.43981,2.43981,
"52502005 : Ward 5",3.65404,3.64269,
"52502006 : Ward 6",21.9285,7.3095,
"52502007 : Ward 7",12.17044,1.21423,
"52502008 : Ward 8",14.57076,3.64269,
"52502009 : Ward 9",10.93611,4.86898,
"52502010 : Ward 10",10.92807,7.28538,
"52502011 : Ward 11",10.92807,4.85692,
"52502012 : Ward 12",10.94817,4.86094,
"52502013 : Ward 13",13.35653,0,
"52502014 : Ward 14",13.35653,0,
"52502015 : Ward 15",8.52775,2.4365,
"52502016 : Ward 16",14.619,2.4365,
"52502017 : Ward 17",12.14632,3.64269,
"52502018 : Ward 18",6.09125,1.21825,
"52502019 : Ward 19",5.64269,2.42846,
"52502020 : Ward 20",8.49961,4.85692,
"52502021 : Ward 21",2.21423,4.23153,
"52502022 : Ward 22",16.99922,3.64269,
"52502023 : Ward 23",8.46736,1.21423,
"52502024 : Ward 24",7.28538,2.42846,
"52502025 : Ward 25",2.42846,0,
"52502026 : Ward 26",9.71384,3.64269,
"52502027 : Ward 27",12.1423,7.28538,
"52502028 : Ward 28",13.35653,8.49961,
"52502029 : Ward 29",10.92807,6.07115,
"52502030 : Ward 30",23.87222,8.07115,
"52502031 : Ward 31",7.29744,2.42846,
"52502032 : Ward 32",8.49961,3.64269,
"52502033 : Ward 33",8.30548,2.4365,
"52502034 : Ward 34",8.51096,3.64269,
"Total",332.88185,119.63852,


" 1"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",13.74909,4.03525,
"52502002 : Ward 2",2.42846,0,
"52502003 : Ward 3",1.21423,1.18198,
"52502004 : Ward 4",0,0,
"52502005 : Ward 5",1.21423,1.21423,
"52502006 : Ward 6",19.492,6.09125,
"52502007 : Ward 7",7.2894,2.4365,
"52502008 : Ward 8",20.64191,7.28538,
"52502009 : Ward 9",21.87222,6.07517,
"52502010 : Ward 10",6.07115,6.07115,
"52502011 : Ward 11",23.07037,8.49961,
"52502012 : Ward 12",13.39673,1.21825,
"52502013 : Ward 13",3.64671,0,
"52502014 : Ward 14",9.71384,4.85692,
"52502015 : Ward 15",17.0555,4.873,
"52502016 : Ward 16",26.76934,7.3095,
"52502017 : Ward 17",12.1423,1.21423,
"52502018 : Ward 18",17.04746,3.65475,
"52502019 : Ward 19",16.78499,3.64269,
"52502020 : Ward 20",14.57076,6.07115,
"52502021 : Ward 21",8.85627,4.23153,
"52502022 : Ward 22",8.49961,0,
"52502023 : Ward 23",12.1423,9.71384,
"52502024 : Ward 24",9.71384,6.07115,
"52502025 : Ward 25",7.2541,1.21423,
"52502026 : Ward 26",12.1423,3.64269,
"52502027 : Ward 27",12.1423,7.28538,
"52502028 : Ward 28",7.28538,2.42846,
"52502029 : Ward 29",26.71306,23.07037,
"52502030 : Ward 30",29.70493,5.86094,
"52502031 : Ward 31",14.61498,3.64671,
"52502032 : Ward 32",16.99922,4.86827,
"52502033 : Ward 33",10.96023,6.09125,
"52502034 : Ward 34",18.21345,14.57076,
"Total",443.41266,168.42659,


" 2"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",11.71319,14.73049,
"52502002 : Ward 2",3.64269,0,
"52502003 : Ward 3",5.7318,0,
"52502004 : Ward 4",2.43981,1.22558,
"52502005 : Ward 5",8.51096,2.42846,
"52502006 : Ward 6",24.365,9.746,
"52502007 : Ward 7",15.81313,8.51569,
"52502008 : Ward 8",35.21267,9.71384,
"52502009 : Ward 9",27.96347,2.43248,
"52502010 : Ward 10",23.07037,3.64269,
"52502011 : Ward 11",21.85614,13.35653,
"52502012 : Ward 12",26.78542,13.39673,
"52502013 : Ward 13",12.15034,6.07517,
"52502014 : Ward 14",27.92729,9.71384,
"52502015 : Ward 15",36.5475,9.746,
"52502016 : Ward 16",26.7814,13.40075,
