SuperWEB2(tm)

"Disability"
"Geography 2016 by Assistive devices and medication-Walking stick or frame"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Assistive devices and medication-Walking stick or frame","Yes","No","do not know","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",239.74798,9983.82727,69.02767,463.04949,13,10768.65241,
"52502002 : Ward 2",369.75479,8502.51423,35.63603,511.46497,13,9432.37002,
"52502003 : Ward 3",303.01436,7334.57193,23.72548,315.21594,205,8181.52771,
"52502004 : Ward 4",221.76317,6054.67096,24.07803,323.73629,10,6634.24845,
"52502005 : Ward 5",466.01921,8930.74458,15.77005,545.55782,0,9958.09166,
"52502006 : Ward 6",254.9603,10985.92123,242.71819,322.85521,10,11816.45493,
"52502007 : Ward 7",231.10817,11110.72589,40.02821,254.4861,0,11636.34837,
"52502008 : Ward 8",209.44359,8011.67672,46.55364,856.2921,0,9123.96605,
"52502009 : Ward 9",230.38761,11324.23634,19.1871,253.4774,0,11827.28845,
"52502010 : Ward 10",164.19771,8271.64632,274.44764,231.32948,0,8941.62115,
"52502011 : Ward 11",200.05936,8652.04649,12.04351,256.96641,0,9121.11577,
"52502012 : Ward 12",235.11548,8777.87974,40.67793,366.34844,0,9420.02159,
"52502013 : Ward 13",132.2588,7622.61207,12.13246,774.63595,0,8541.63928,
"52502014 : Ward 14",259.07439,15995.82092,116.12661,434.37217,0,16805.39409,
"52502015 : Ward 15",177.47001,11231.01041,15.70347,150.974,0,11575.15789,
"52502016 : Ward 16",303.85182,13705.47257,31.28119,415.16109,0,14455.76667,
"52502017 : Ward 17",238.89558,12272.91671,54.54646,267.83261,0,12834.19136,
"52502018 : Ward 18",221.66341,8243.28713,72.45793,218.80065,0,8756.20912,
"52502019 : Ward 19",522.90304,9148.23865,43.564,302.82433,0,10017.53002,
"52502020 : Ward 20",302.01947,9003.95272,69.64701,320.34368,0,9695.96288,
"52502021 : Ward 21",305.66157,9711.72549,24.00092,242.43569,1007,11290.82367,
"52502022 : Ward 22",215.49484,8066.39228,41.78968,157.98795,295,8776.66475,
"52502023 : Ward 23",300.73237,9924.1468,30.00023,355.42355,6,10616.30295,
"52502024 : Ward 24",376.38171,10519.70658,45.38938,874.76014,1,11817.23781,
"52502025 : Ward 25",309.82396,8008.10651,47.21602,171.15343,65,8601.29992,
"52502026 : Ward 26",198.90443,12948.00096,54.97962,175.87931,0,13377.76432,
"52502027 : Ward 27",261.5734,10291.66846,47.77941,430.28217,0,11031.30344,
"52502028 : Ward 28",193.22072,8366.85344,36.56729,307.173,24,8927.81445,
"52502029 : Ward 29",197.50281,10570.98611,11.04811,285.03406,0,11064.57109,
"52502030 : Ward 30",258.56291,8595.92797,125.38819,205.37057,0,9185.24964,
"52502031 : Ward 31",298.79654,10712.48134,70.18083,297.10207,0,11378.56078,
"52502032 : Ward 32",256.079,11190.46601,161.8916,311.36543,0,11919.80204,
"52502033 : Ward 33",222.28874,11647.74514,102.3171,387.45552,9,12368.8065,
"52502034 : Ward 34",281.71117,11155.53023,51.13079,357.8228,1490,13336.19499,
"Total",8960.44242,336873.5102,2109.03178,12144.96982,3148,363235.95422,


(c) Copyright Statistics South Africa
