SuperWEB2(tm)

"Disability"
"Geography 2016 by Assistive devices and medication-A wheelchair"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Assistive devices and medication-A wheelchair","Yes","No","do not know","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",124.39459,10086.81912,63.52474,480.91396,13,10768.65241,
"52502002 : Ward 2",283.07168,8587.2535,33.90395,515.14089,13,9432.37002,
"52502003 : Ward 3",222.13946,7421.3747,32.47858,300.53497,205,8181.52771,
"52502004 : Ward 4",179.19821,6097.88385,12.41195,334.75444,10,6634.24845,
"52502005 : Ward 5",360.01194,9024.01526,20.82405,553.24041,0,9958.09166,
"52502006 : Ward 6",161.29741,11068.15331,259.65755,317.34666,10,11816.45493,
"52502007 : Ward 7",193.58584,11141.24959,34.9799,266.53304,0,11636.34837,
"52502008 : Ward 8",122.91117,8249.66663,50.15362,701.23463,0,9123.96605,
"52502009 : Ward 9",150.59424,11390.3721,26.81866,259.50345,0,11827.28845,
"52502010 : Ward 10",91.21738,8351.78258,295.06743,203.55376,0,8941.62115,
"52502011 : Ward 11",120.32073,8683.34342,32.35481,285.09681,0,9121.11577,
"52502012 : Ward 12",200.33521,8813.46603,56.83814,349.38221,0,9420.02159,
"52502013 : Ward 13",83.34074,7661.13181,17.09437,780.07236,0,8541.63928,
"52502014 : Ward 14",185.96783,16068.01769,108.8513,442.55727,0,16805.39409,
"52502015 : Ward 15",77.91272,11287.46769,30.92661,178.85087,0,11575.15789,
"52502016 : Ward 16",186.73896,13753.3747,42.51597,473.13704,0,14455.76667,
"52502017 : Ward 17",162.37515,12362.79913,35.41107,273.60601,0,12834.19136,
"52502018 : Ward 18",105.56487,8313.64322,66.06603,270.935,0,8756.20912,
"52502019 : Ward 19",444.73731,9258.3098,55.17601,259.3069,0,10017.53002,
"52502020 : Ward 20",186.59117,9110.09815,45.903,353.37056,0,9695.96288,
"52502021 : Ward 21",206.39877,9814.47336,24.52902,238.42252,1007,11290.82367,
"52502022 : Ward 22",156.2192,8124.02003,33.29016,168.13536,295,8776.66475,
"52502023 : Ward 23",217.86857,9979.17851,43.33218,369.92369,6,10616.30295,
"52502024 : Ward 24",239.04776,10667.51875,45.35232,864.31898,1,11817.23781,
"52502025 : Ward 25",229.11996,8100.56315,50.58903,156.02778,65,8601.29992,
"52502026 : Ward 26",122.39799,12960.88696,73.98565,220.49372,0,13377.76432,
"52502027 : Ward 27",176.71748,10428.61301,40.33952,385.63343,0,11031.30344,
"52502028 : Ward 28",114.00108,8420.94158,39.1234,329.74839,24,8927.81445,
"52502029 : Ward 29",115.7017,10613.58944,29.60269,305.67726,0,11064.57109,
"52502030 : Ward 30",190.2683,8638.16916,121.10026,235.71192,0,9185.24964,
"52502031 : Ward 31",226.40017,10774.16596,77.60754,300.38711,0,11378.56078,
"52502032 : Ward 32",121.02516,11303.95836,164.14963,330.66889,0,11919.80204,
"52502033 : Ward 33",168.29517,11774.4236,94.2058,322.88193,9,12368.8065,
"52502034 : Ward 34",205.85439,11224.15898,48.05142,368.1302,1490,13336.19499,
"Total",6131.62231,339554.88313,2206.21636,12195.23242,3148,363235.95422,


(c) Copyright Statistics South Africa
