SuperWEB2(tm)

"Labour Force"
"Geography 2016 by Official employment status"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Official employment status","Employed","Unemployed","Discouraged work-seeker","Other not economically active","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",1724.06789,938.459,899.54237,2919.73012,0,4286.85303,10768.65241,
"52502002 : Ward 2",4172.54563,281.04899,68.36863,1967.25835,0,2943.14842,9432.37002,
"52502003 : Ward 3",2925.3861,359.26624,149.24179,2546.85855,0,2200.77503,8181.52771,
"52502004 : Ward 4",2979.22505,145.01326,25.81402,1522.52061,0,1961.67551,6634.24845,
"52502005 : Ward 5",3085.28045,539.27269,130.79086,3370.86245,0,2831.88521,9958.09166,
"52502006 : Ward 6",1176.60671,901.32888,745.88713,3923.37066,0,5069.26155,11816.45493,
"52502007 : Ward 7",1264.4912,1353.10493,868.63741,3256.05869,0,4894.05614,11636.34837,
"52502008 : Ward 8",1053.83529,1875.50204,517.81663,2172.07244,0,3504.73965,9123.96605,
"52502009 : Ward 9",1955.89202,1525.28136,494.2931,3297.38589,0,4554.43608,11827.28845,
"52502010 : Ward 10",1170.43291,867.47965,509.26151,3023.11919,0,3371.32789,8941.62115,
"52502011 : Ward 11",1424.86972,698.87056,437.7125,3149.83165,0,3409.83134,9121.11577,
"52502012 : Ward 12",808.46143,1580.92164,397.21904,2787.17459,0,3846.24489,9420.02159,
"52502013 : Ward 13",996.6395,1339.98667,429.91645,2447.79851,0,3327.29815,8541.63928,
"52502014 : Ward 14",2772.92511,2244.24425,548.33442,5039.07758,0,6200.81273,16805.39409,
"52502015 : Ward 15",1074.13029,1080.43302,1725.44281,2797.51381,0,4897.63796,11575.15789,
"52502016 : Ward 16",1728.46672,1772.92775,978.60039,3935.17822,0,6040.59359,14455.76667,
"52502017 : Ward 17",1452.46665,1947.93114,784.78466,3815.8719,0,4833.13701,12834.19136,
"52502018 : Ward 18",888.67196,1139.90601,659.19688,2532.34993,0,3536.08434,8756.20912,
"52502019 : Ward 19",1742.20992,1097.77638,267.55402,3403.24739,0,3506.74231,10017.53002,
"52502020 : Ward 20",1391.72752,914.93741,188.69231,3652.13034,0,3548.4753,9695.96288,
"52502021 : Ward 21",2879.20352,750.0768,375.02827,3584.27078,0,3702.2443,11290.82367,
"52502022 : Ward 22",1435.22624,701.68539,289.49383,3409.87887,0,2940.38042,8776.66475,
"52502023 : Ward 23",1548.66452,837.4161,269.83309,4006.2574,0,3954.13184,10616.30295,
"52502024 : Ward 24",2109.70888,1076.82258,380.33846,4444.41297,0,3805.95492,11817.23781,
"52502025 : Ward 25",2648.96383,852.43803,133.1784,2481.80024,0,2484.91942,8601.29992,
"52502026 : Ward 26",2495.44563,1543.51606,675.06511,3955.62644,0,4708.11108,13377.76432,
"52502027 : Ward 27",2067.01506,1122.42246,270.46311,3708.00183,0,3863.40098,11031.30344,
"52502028 : Ward 28",1108.33001,945.12801,569.8089,3243.79958,0,3060.74795,8927.81445,
"52502029 : Ward 29",2094.45488,978.87182,309.25646,3876.31071,0,3805.67722,11064.57109,
"52502030 : Ward 30",937.28313,709.58702,751.5446,3143.5564,0,3643.27849,9185.24964,
"52502031 : Ward 31",1480.57316,1564.21604,300.49975,3522.31696,0,4510.95487,11378.56078,
"52502032 : Ward 32",1640.37334,1269.21468,571.29799,3803.02096,0,4635.89507,11919.80204,
"52502033 : Ward 33",1007.89981,1537.14129,752.573,3683.15908,0,5388.03332,12368.8065,
"52502034 : Ward 34",3726.47139,1194.03955,545.93835,3803.17387,0,4066.57183,13336.19499,
"Total",62967.94547,37686.2677,17021.42625,112224.99696,0,133335.31784,363235.95422,


(c) Copyright Statistics South Africa
