SuperWEB2(tm)

"Household Head"
"Geography 2016 by Energy or fuel for lighting"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Energy or fuel for lighting","Electricity","Gas","Paraffin","Candles","Solar","Other","None","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",514.93979,32.70153,39.66663,1519.84044,7.5694,0,40.23155,22.48277,0,2177.43211,
"52502002 : Ward 2",3095.29922,2.3304,0,4.06518,3.46309,0,3.58009,50.41512,0,3159.1531,
"52502003 : Ward 3",2368.90753,1.7998,7.68156,10.91447,1.13269,0,8.84298,11.99184,0,2411.27087,
"52502004 : Ward 4",2291.862,6.10875,0,4.06518,2.13269,0,0,35.02505,0,2339.19367,
"52502005 : Ward 5",2977.82393,5.19787,2.93249,5.05677,12.37756,0,2.93249,59.08384,0,3065.40495,
"52502006 : Ward 6",1606.98179,4.26058,69.55812,879.54868,2.87601,0,20.37701,19.46493,0,2603.06712,
"52502007 : Ward 7",1742.28532,2.88051,38.8245,795.12753,1.07621,0,6.11108,26.32415,0,2612.6293,
"52502008 : Ward 8",1785.28722,28.35277,3.96122,39.27558,0,0,9.48915,7.90473,0,1874.27067,
"52502009 : Ward 9",2762.91569,2.08714,19.72776,158.04509,0,0,10.94827,10.90517,0,2964.62912,
"52502010 : Ward 10",1791.94249,1.7998,8.01714,25.02814,3.29411,0,6.53209,17.19944,0,1853.81321,
"52502011 : Ward 11",2052.61687,8.57184,0,20.88357,3.51507,0,17.00258,7.18105,0,2109.77098,
"52502012 : Ward 12",1616.97612,4.1257,36.77992,160.25036,8.5791,0,10.4264,19.96038,0,1857.09798,
"52502013 : Ward 13",1650.27288,0,5.09391,27.95561,2.3259,0,4.68031,16.62145,0,1706.95006,
"52502014 : Ward 14",4073.56123,1.04357,6.51258,67.26039,4.1302,0,5.76102,14.08824,0,4172.35723,
"52502015 : Ward 15",1730.12514,6.64909,53.33466,678.27692,3.5996,0,9.33661,15.99121,0,2497.31323,
"52502016 : Ward 16",2503.98521,2.15692,21.02899,308.25706,4.3763,0,8.27991,16.16939,0,2864.25378,
"52502017 : Ward 17",2625.01545,5.05677,8.82535,81.77596,2.93249,0,8.77337,19.74199,0,2752.12138,
"52502018 : Ward 18",1601.53101,1.02295,1.7998,100.16883,1.07621,0,4.29918,20.84616,0,1730.74414,
"52502019 : Ward 19",2215.97467,4.04357,75.7998,206.21241,6.05677,0,2.88051,5.22575,0,2516.19348,
"52502020 : Ward 20",2138.74541,2.2134,1.7998,106.90452,6.26932,0,11.29226,12.73128,0,2279.95599,
"52502021 : Ward 21",1077.61217,2.49938,49.7775,1343.00023,5.19747,0,16.09703,20.71506,0,2514.89884,
"52502022 : Ward 22",1946.88995,2.38238,1.24969,3.5996,8.72734,0,4.73229,7.81425,0,1975.3955,
"52502023 : Ward 23",2131.20396,1.24969,2.88051,4.6608,4.67564,0,2.93249,17.9394,0,2165.54249,
"52502024 : Ward 24",2798.07747,5.98198,2.38238,13.44064,2.12428,0,4.18218,40.23929,0,2866.42822,
"52502025 : Ward 25",1666.29453,6.39558,49.54459,1233.41241,5.06518,0,32.10523,0,0,2992.81752,
"52502026 : Ward 26",2984.76243,1.13269,1,27.0856,4.82978,0,2.29326,14.70796,0,3035.81172,
"52502027 : Ward 27",2457.2818,2.29326,2.26538,16.06169,5.39609,0,5.41839,16.99799,0,2505.7146,
"52502028 : Ward 28",1907.67956,1.7998,2.88051,3.04949,4.09306,0,4.09306,23.92333,0,1947.51881,
"52502029 : Ward 29",2519.85621,0,1.13269,12.40544,4.33768,0,1.24969,12.58504,0,2551.56675,
"52502030 : Ward 30",1773.48085,2.87601,17.4425,273.27529,2.7998,0,12.83535,3.95672,0,2086.66652,
"52502031 : Ward 31",2301.96581,6.77497,22.34059,282.29884,8.86798,0,6.08941,5.37989,0,2633.71749,
"52502032 : Ward 32",2466.19659,228.14253,5.43187,72.3097,8.31374,0,10.40878,12.46209,0,2803.2653,
"52502033 : Ward 33",1685.50856,11.75914,68.87859,888.31944,5.6518,0,5.5996,12.75823,0,2678.47536,
"52502034 : Ward 34",3649.92596,7.04949,2.13269,35.4779,2.49938,0,6.44297,15.38102,0,3718.90941,
"Total",74513.78482,402.73986,630.68372,9407.30976,149.36194,0,306.25659,614.21421,0,86024.3509,


(c) Copyright Statistics South Africa
