SuperWEB2(tm)

"Household Services"
"Geography 2016 by Piped water"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Piped water","Piped (tap) water inside the dwelling","Piped (tap) water inside the yard","Piped (tap) water on community stand: distance less than 200m from dwelling","Piped (tap) water to community stand: distance less than 200m and 500m from dwelling","Piped (tap) water to community stand: distance less than 500m and 1000m from dwelling","Piped (tap) water on community stand: distance greater than 1000m (1 km) from dwelling","No access to piped (tap) water","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",342.16109,709.80995,83.17642,119.58652,89.15569,13.76175,797.29792,22.48277,0,2177.43211,
"52502002 : Ward 2",3066.86597,27.74289,1.24969,1.24969,1.24969,0,10.38005,50.41512,0,3159.1531,
"52502003 : Ward 3",2337.46124,37.22807,2.26538,0,2.49938,1,18.82496,11.99184,0,2411.27087,
"52502004 : Ward 4",2271.83972,26.53541,1.13269,0,1.24969,0,3.41111,35.02505,0,2339.19367,
"52502005 : Ward 5",2858.21058,138.08288,1.24969,1.24969,0,0,7.52827,59.08384,0,3065.40495,
"52502006 : Ward 6",437.13325,1394.92565,511.58732,143.49913,3.17537,0,93.28147,19.46493,0,2603.06712,
"52502007 : Ward 7",626.78078,1349.25533,200.5475,64.28521,140.68616,10.07956,194.67061,26.32415,0,2612.6293,
"52502008 : Ward 8",788.05784,1036.1368,7.90473,6.18946,2.3304,7.06269,18.68402,7.90473,0,1874.27067,
"52502009 : Ward 9",1211.57624,1462.84518,173.93335,22.63351,7.31289,0,75.42278,10.90517,0,2964.62912,
"52502010 : Ward 10",1209.7209,594.24598,1.13269,2.2134,2.17626,0,27.12454,17.19944,0,1853.81321,
"52502011 : Ward 11",1098.4493,981.98885,2.93249,4.73229,1.7998,0,12.6872,7.18105,0,2109.77098,
"52502012 : Ward 12",289.73067,584.90345,469.76123,361.40615,46.25336,6.05588,79.02686,19.96038,0,1857.09798,
"52502013 : Ward 13",861.19704,764.71237,51.86268,7.60949,1.08071,0,3.86632,16.62145,0,1706.95006,
"52502014 : Ward 14",539.49105,3088.67825,311.7356,19.86546,7.38717,1.24969,189.86177,14.08824,0,4172.35723,
"52502015 : Ward 15",159.19784,1043.59966,985.97628,191.04428,19.68717,1.24969,80.5671,15.99121,0,2497.31323,
"52502016 : Ward 16",171.18543,1656.67168,825.65813,52.57084,48.23803,68.3496,25.41068,16.16939,0,2864.25378,
"52502017 : Ward 17",1291.56631,1265.85183,49.55619,100.97991,3.40661,4.1257,16.89284,19.74199,0,2752.12138,
"52502018 : Ward 18",335.44037,841.11528,426.19723,32.96611,2.10366,0,72.07533,20.84616,0,1730.74414,
"52502019 : Ward 19",1102.3437,1135.81734,11.51507,19.1302,1,0,241.16142,5.22575,0,2516.19348,
"52502020 : Ward 20",1669.00099,383.64068,5.813,1.04357,0,0,207.72647,12.73128,0,2279.95599,
"52502021 : Ward 21",858.09031,315.78553,463.92126,184.71062,68.54339,35.61238,567.52029,20.71506,0,2514.89884,
"52502022 : Ward 22",1819.38654,144.97488,0,0,0,0,3.21983,7.81425,0,1975.3955,
"52502023 : Ward 23",1769.36419,368.46935,3.63207,1.08071,0,0,5.05677,17.9394,0,2165.54249,
"52502024 : Ward 24",1950.12086,866.11003,2.38238,0,1.13269,1.04357,5.3994,40.23929,0,2866.42822,
"52502025 : Ward 25",1651.77257,54.6638,579.58815,387.69609,14.12538,299.24765,5.72388,0,0,2992.81752,
"52502026 : Ward 26",2401.13166,604.89235,0,0,1.13269,0,13.94706,14.70796,0,3035.81172,
"52502027 : Ward 27",1512.27553,952.43705,4.09306,4.29918,3.25697,1.7998,10.55502,16.99799,0,2505.7146,
"52502028 : Ward 28",1411.29534,509.45677,0,0,0,0,2.84337,23.92333,0,1947.51881,
"52502029 : Ward 29",1440.73069,1089.2762,4.88176,0,1.04357,0,3.04949,12.58504,0,2551.56675,
"52502030 : Ward 30",960.48822,816.96647,186.81342,52.39449,5.93,0,60.1172,3.95672,0,2086.66652,
"52502031 : Ward 31",457.79879,1206.24625,428.76058,322.47148,66.13015,41.44855,105.4818,5.37989,0,2633.71749,
"52502032 : Ward 32",735.3011,1960.92845,44.54314,8.66096,7.38717,0,33.98239,12.46209,0,2803.2653,
"52502033 : Ward 33",376.34272,1618.89552,301.40208,33.564,13.86249,1.13269,320.51763,12.75823,0,2678.47536,
"52502034 : Ward 34",3048.71544,592.41097,42.69351,4.17626,0,0,15.53221,15.38102,0,3718.90941,
"Total",43060.22427,29625.30115,6187.89877,2151.3087,563.33654,493.2192,3328.84806,614.21421,0,86024.3509,


(c) Copyright Statistics South Africa
