SuperWEB2(tm)

"Ward by Population Group Estimates"
"Ward 2022 by Population group"
"Counting: Population estimates"

Filters:
"Default Summation","Population estimates"

"Population group","Black African","Coloured","Indian or Asian","White","Other","Total",
"Ward 2022",
"52502001",11861.056877,133.4500208,55.4051007,484.155907,29.1197379,12563.1876435,
"52502002",4643.2953595,180.2173479,582.1702409,7500.1516453,108.9145417,13014.7491353,
"52502003",957.4047399,334.8076883,9187.2268763,115.8501656,100.9145417,10696.2040118,
"52502004",2422.9988492,175.4659396,1303.5150793,6533.6324633,157.2949055,10592.9072369,
"52502005",10262.933543,131.6480995,392.7615095,2924.4401625,52.896829,13764.6801435,
"52502006",24674.273995,55.9961494,28.0943127,13.9193847,31.5164652,24803.800307,
"52502007",21554.859449,19.8792677,10.2850536,8.5995667,27.0340762,21620.6574131,
"52502008",11667.857102,25.080853,18.350595,5.0237249,11.2758436,11727.5881185,
"52502009",15534.865717,18.9948825,6.437213,4.0299449,23.6373489,15587.9651063,
"52502010",11432.646554,33.6207727,12.2081443,4.750067,13.447167,11496.672705,
"52502011",13528.488107,90.2522388,11.6638185,11.6413832,84.0481481,13726.0936956,
"52502012",14885.037664,23.854892,18.6814114,1.7743787,24.7230106,14954.0713568,
"52502013",9347.8631958,34.7467689,26.5198246,5.7455061,10.1901819,9425.0654772,
"52502014",17809.991868,56.6648099,20.3278543,6.5274357,143.0494973,18036.5614652,
"52502015",18681.376952,39.3959052,18.1040214,19.2739259,11.2758436,18769.4266482,
"52502016",17176.009413,33.2542546,15.66502,5.7425161,7.8791163,17238.5503201,
"52502017",16141.81716,47.4810852,9.0520107,13.0444599,68.4296577,16279.8243735,
"52502018",15097.254008,30.9978689,15.8153911,6.225492,38.8791163,15189.1718763,
"52502019",13779.050504,39.9752992,26.2838799,5.293062,152.1540175,14002.7567627,
"52502020",13856.81575,25.9440364,13.0532123,12.6893318,14.6725709,13923.1749013,
"52502021",19078.72758,378.796272,131.7530709,865.0013338,49.1033744,20503.3816311,
"52502022",10772.008628,25.1120408,35.39438,0.6616328,14.6725709,10847.8492525,
"52502023",14297.947361,39.7580961,11.7570311,7.8159779,19.9836365,14377.2621026,
"52502024",13036.927496,46.2417151,4.0583601,13.5013356,11.2758436,13112.0047503,
"52502025",3123.2817633,1759.0649473,4079.2182457,196.0177785,70.853162,9228.4358968,
"52502026",15486.205233,39.7787678,45.9123883,14.5869973,20.2406216,15606.724008,
"52502027",15044.449433,52.1612724,9.503124,11.8188386,10.1901819,15128.1228498,
"52502028",10809.116183,40.9580995,28.2069706,7.4898106,13.3615053,10899.132569,
"52502029",12381.199451,44.842259,14.7975168,5.6238784,3.3967273,12449.8598325,
"52502030",12410.374778,32.1117748,55.12075,5.2613287,13.5869092,12516.4555406,
"52502031",15804.552478,19.6721293,5.7755803,5.2914029,59.6362031,15894.9277936,
"52502032",18037.708287,97.2852801,25.9831377,8.9634472,24.6373489,18194.5775009,
"52502033",22558.297996,35.1318048,29.3497908,4.450984,42.932051,22670.1626266,
"52502034",13343.426305,325.5222279,2174.2528097,2947.2114077,77.861607,18868.2743573,
"Total",461500.1197797,4468.1648672,18422.7037255,21776.2066773,1543.0843596,507710.2794093,


(c) Copyright Statistics South Africa
