SuperWEB2(tm)

"Household Head"
"Geography 2016 by Refuse or rubbish"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Refuse or rubbish","Removed by local authority at least once a week","Removed by local authority less often","Communal refuse dump","Own refuse dump","No rubbish disposal","Other","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",592.3999,16.45716,4.19301,1275.57023,227.74655,38.58249,22.48277,0,2177.43211,
"52502002 : Ward 2",2993.03359,102.36312,4.5438,5.86498,2.93249,0,50.41512,0,3159.1531,
"52502003 : Ward 3",2358.76296,5.78045,8.39683,11.02765,9.76227,5.54887,11.99184,0,2411.27087,
"52502004 : Ward 4",2269.82497,15.10244,9.24736,4.39807,1.13269,4.46309,35.02505,0,2339.19367,
"52502005 : Ward 5",2989.68191,11.67798,1.08071,2.88051,0,1,59.08384,0,3065.40495,
"52502006 : Ward 6",16.73866,3.17987,11.64797,1850.95379,604.81364,96.26826,19.46493,0,2603.06712,
"52502007 : Ward 7",865.75129,3.92408,0,1685.91373,24.07309,6.64296,26.32415,0,2612.6293,
"52502008 : Ward 8",1839.15512,4.79264,1.04357,15.13317,6.24144,0,7.90473,0,1874.27067,
"52502009 : Ward 9",2329.09523,5.10875,9.88207,381.16087,228.47703,0,10.90517,0,2964.62912,
"52502010 : Ward 10",1819.55454,3.25697,1.08071,8.74549,1.7998,2.17626,17.19944,0,1853.81321,
"52502011 : Ward 11",2095.03378,4.29918,0,1.13269,1.04357,1.08071,7.18105,0,2109.77098,
"52502012 : Ward 12",48.5661,7.53681,10.9005,1485.41976,271.2136,13.50083,19.96038,0,1857.09798,
"52502013 : Ward 13",1527.00727,4.0132,0,35.80025,123.50789,0,16.62145,0,1706.95006,
"52502014 : Ward 14",4132.83703,2.84337,12.77165,4.64317,4.09306,1.08071,14.08824,0,4172.35723,
"52502015 : Ward 15",26.215,5.9255,4.20282,2183.58145,261.39725,0,15.99121,0,2497.31323,
"52502016 : Ward 16",53.69232,15.82673,4.48282,2467.84056,164.35465,141.88731,16.16939,0,2864.25378,
"52502017 : Ward 17",2403.18435,1.08071,6.54182,174.35509,147.21742,0,19.74199,0,2752.12138,
"52502018 : Ward 18",354.41805,6.58648,15.6427,1236.99233,84.75003,11.50839,20.84616,0,1730.74414,
"52502019 : Ward 19",2246.31269,11.34609,17,203.30895,25,8,5.22575,0,2516.19348,
"52502020 : Ward 20",2166.85084,1.04357,0,5.813,93.5173,0,12.73128,0,2279.95599,
"52502021 : Ward 21",704.36698,36.1927,23.58761,1264.41113,427.74556,37.8798,20.71506,0,2514.89884,
"52502022 : Ward 22",1956.35912,1.7998,6.37284,3.04949,0,0,7.81425,0,1975.3955,
"52502023 : Ward 23",2135.30492,1.04357,3.20499,3.58009,1.24969,3.21983,17.9394,0,2165.54249,
"52502024 : Ward 24",2806.62338,8.45484,2.29326,4.93051,2.84337,1.04357,40.23929,0,2866.42822,
"52502025 : Ward 25",1691.88388,14.15785,450.03122,739.17522,91.22575,6.3436,0,0,2992.81752,
"52502026 : Ward 26",3016.50798,0,0,1.08071,3.51507,0,14.70796,0,3035.81172,
"52502027 : Ward 27",2485.11701,1.7998,0,1.7998,0,0,16.99799,0,2505.7146,
"52502028 : Ward 28",1921.3301,0,1.13269,0,1.13269,0,23.92333,0,1947.51881,
"52502029 : Ward 29",2537.84902,0,0,0,0,1.13269,12.58504,0,2551.56675,
"52502030 : Ward 30",1137.86448,14.75987,161.14056,608.90725,160.03764,0,3.95672,0,2086.66652,
"52502031 : Ward 31",861.28227,4.49182,11.55439,1402.55578,286.88687,61.56647,5.37989,0,2633.71749,
"52502032 : Ward 32",2703.48576,79.8783,0,7.43915,0,0,12.46209,0,2803.2653,
"52502033 : Ward 33",51.99662,5.16801,6.42235,2555.89907,44.43128,1.7998,12.75823,0,2678.47536,
"52502034 : Ward 34",3587.63414,87.91819,0,10.17626,6.7998,11,15.38102,0,3718.90941,
"Total",60725.72126,487.80985,788.39825,19643.5402,3308.94149,455.72564,614.21421,0,86024.3509,


(c) Copyright Statistics South Africa
