SuperWEB2(tm)

"Household Head"
"Geography 2016 by Sex of head of the household"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Sex of head of the household","Male","Female","Not applicable","Unspecified","Total",
"Geography 2016",
"52502001 : Ward 1",1300.84033,874.59178,2,0,2177.43211,
"52502002 : Ward 2",2229.87583,926.27727,3,0,3159.1531,
"52502003 : Ward 3",1747.50753,659.76334,4,0,2411.27087,
"52502004 : Ward 4",1627.46634,711.72733,0,0,2339.19367,
"52502005 : Ward 5",1823.17046,1242.23449,0,0,3065.40495,
"52502006 : Ward 6",1210.1251,1390.94202,2,0,2603.06712,
"52502007 : Ward 7",1265.46529,1347.16401,0,0,2612.6293,
"52502008 : Ward 8",845.07001,1029.20066,0,0,1874.27067,
"52502009 : Ward 9",1560.22154,1404.40758,0,0,2964.62912,
"52502010 : Ward 10",908.35953,945.45368,0,0,1853.81321,
"52502011 : Ward 11",978.04358,1131.7274,0,0,2109.77098,
"52502012 : Ward 12",816.12848,1040.9695,0,0,1857.09798,
"52502013 : Ward 13",762.60998,944.34008,0,0,1706.95006,
"52502014 : Ward 14",1974.93467,2197.42256,0,0,4172.35723,
"52502015 : Ward 15",1223.00581,1274.30742,0,0,2497.31323,
"52502016 : Ward 16",1345.64307,1518.61071,0,0,2864.25378,
"52502017 : Ward 17",1301.94881,1450.17257,0,0,2752.12138,
"52502018 : Ward 18",844.87621,885.86793,0,0,1730.74414,
"52502019 : Ward 19",1175.87247,1340.32101,0,0,2516.19348,
"52502020 : Ward 20",1113.92203,1166.03396,0,0,2279.95599,
"52502021 : Ward 21",1588.29487,916.60397,10,0,2514.89884,
"52502022 : Ward 22",944.64379,1028.75171,2,0,1975.3955,
"52502023 : Ward 23",997.9931,1166.54939,1,0,2165.54249,
"52502024 : Ward 24",1327.47875,1537.94947,1,0,2866.42822,
"52502025 : Ward 25",2057.52102,933.2965,2,0,2992.81752,
"52502026 : Ward 26",1654.8663,1380.94542,0,0,3035.81172,
"52502027 : Ward 27",1311.35957,1194.35503,0,0,2505.7146,
"52502028 : Ward 28",857.19917,1089.31964,1,0,1947.51881,
"52502029 : Ward 29",1247.4929,1304.07385,0,0,2551.56675,
"52502030 : Ward 30",935.22153,1151.44499,0,0,2086.66652,
"52502031 : Ward 31",1402.97575,1230.74174,0,0,2633.71749,
"52502032 : Ward 32",1343.30349,1459.96181,0,0,2803.2653,
"52502033 : Ward 33",1167.83331,1509.64205,1,0,2678.47536,
"52502034 : Ward 34",2273.43313,1433.47628,12,0,3718.90941,
"Total",45164.70375,40818.64715,41,0,86024.3509,


(c) Copyright Statistics South Africa
