SuperWEB2(tm)

"Dwellings"
"Geography 2016 by Tenure status"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Tenure status","Rented","Owned but not yet paid off","Occupied rent-free","Owned and fully paid off","Other","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",228.80296,113.66542,743.6096,919.63261,135.55424,22.48277,13.68451,2177.43211,
"52502002 : Ward 2",586.82415,1185.66763,126.10827,834.14931,35.13058,50.41512,340.85804,3159.1531,
"52502003 : Ward 3",824.35441,475.65819,71.51435,973.67878,38.34483,11.99184,15.72847,2411.27087,
"52502004 : Ward 4",627.2743,717.64936,67.95133,717.38121,44.18997,35.02505,129.72245,2339.19367,
"52502005 : Ward 5",990.71172,1182.56892,103.01999,562.37728,66.43319,59.08384,101.21001,3065.40495,
"52502006 : Ward 6",366.99245,157.85746,857.56167,1162.54828,35.56162,19.46493,3.08071,2603.06712,
"52502007 : Ward 7",206.23776,235.96923,1017.19766,1099.96169,23.88932,26.32415,3.04949,2612.6293,
"52502008 : Ward 8",257.7003,42.01763,344.03942,1186.02878,30.68695,7.90473,5.89286,1874.27067,
"52502009 : Ward 9",289.80107,242.01308,627.84718,1668.86019,122.87653,10.90517,2.3259,2964.62912,
"52502010 : Ward 10",519.43718,44.12796,486.80265,759.31549,26.93049,17.19944,0,1853.81321,
"52502011 : Ward 11",689.18685,24.7323,694.11381,596.65794,55.44718,7.18105,42.45185,2109.77098,
"52502012 : Ward 12",346.97597,23.99562,640.05067,472.15686,347.93677,19.96038,6.02171,1857.09798,
"52502013 : Ward 13",323.9921,47.93882,504.54657,761.37001,51.34842,16.62145,1.13269,1706.95006,
"52502014 : Ward 14",1053.78966,305.76977,505.73732,2176.00954,112.78052,14.08824,4.18218,4172.35723,
"52502015 : Ward 15",603.68233,164.40732,1345.88851,358.59561,5.87224,15.99121,2.87601,2497.31323,
"52502016 : Ward 16",624.11095,103.02366,1621.46069,478.63393,17.97915,16.16939,2.87601,2864.25378,
"52502017 : Ward 17",426.72183,139.61349,785.94755,1335.74088,44.35564,19.74199,0,2752.12138,
"52502018 : Ward 18",373.86677,8.653,492.79382,805.91876,28.66563,20.84616,0,1730.74414,
"52502019 : Ward 19",704.97657,147.09244,597.71373,1027.19245,27.77914,5.22575,6.2134,2516.19348,
"52502020 : Ward 20",589.38521,134.00502,545.58873,712.06001,272.14948,12.73128,14.03626,2279.95599,
"52502021 : Ward 21",381.70835,309.32264,682.86104,792.97702,219.65138,20.71506,107.66335,2514.89884,
"52502022 : Ward 22",419.61007,515.09858,53.31739,846.26248,127.69313,7.81425,5.5996,1975.3955,
"52502023 : Ward 23",557.91677,175.69232,140.50136,1246.37737,23.18278,17.9394,3.93249,2165.54249,
"52502024 : Ward 24",1104.84779,222.6892,323.40924,1088.79694,58.99058,40.23929,27.45518,2866.42822,
"52502025 : Ward 25",938.77715,635.91472,298.06976,937.11381,124.31472,0,58.62736,2992.81752,
"52502026 : Ward 26",631.62317,188.15285,563.89251,1572.02994,64.40529,14.70796,1,3035.81172,
"52502027 : Ward 27",726.58767,136.99554,101.20235,1436.45304,80.29832,16.99799,7.17969,2505.7146,
"52502028 : Ward 28",575.03982,185.64871,24.19711,1096.35413,36.29894,23.92333,6.05677,1947.51881,
"52502029 : Ward 29",660.94341,81.00143,127.48293,1534.18601,131.06875,12.58504,4.29918,2551.56675,
"52502030 : Ward 30",238.88387,147.16199,922.54773,623.96072,150.15549,3.95672,0,2086.66652,
"52502031 : Ward 31",361.60103,156.19279,405.92728,1656.26222,47.33133,5.37989,1.02295,2633.71749,
"52502032 : Ward 32",652.34278,152.67687,811.03872,1131.41576,38.74256,12.46209,4.58652,2803.2653,
"52502033 : Ward 33",59.12244,172.40029,895.1206,1524.60699,13.46681,12.75823,1,2678.47536,
"52502034 : Ward 34",948.28847,606.26183,1276.12822,551.11139,105.88227,15.38102,215.85621,3718.90941,
"Total",18892.11733,9181.63608,18805.18976,34646.17743,2745.39424,614.21421,1139.62185,86024.3509,


(c) Copyright Statistics South Africa
