SuperWEB2(tm)

"Household Head"
"Geography 2016 by Toilet facilities"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Toilet facilities","None","Flush toilet (connected to sewerage system)","Flush toilet (with septic tank)","Chemical toilet","Pit latrine with ventilation (VIP)","Pit latrine without ventilation","Bucket latrine","Other","Unspecified","Not applicable",
"Geography 2016",
"52502001 : Ward 1",89.52687,220.51301,173.09118,15.26832,125.61455,1459.45618,22.13878,49.34045,22.48277,0,
"52502002 : Ward 2",2.93249,3082.00704,15.95298,0,1.08071,1,1.13269,4.63207,50.41512,0,
"52502003 : Ward 3",18.91074,2355.03997,2.26538,0,10.03147,5.73229,1.24969,6.04949,11.99184,0,
"52502004 : Ward 4",1.24969,2289.94077,6.49938,0,3.2134,2.13269,1.13269,0,35.02505,0,
"52502005 : Ward 5",2.26538,2988.85431,3.39807,0,2.88051,1.7998,0,7.12304,59.08384,0,
"52502006 : Ward 6",150.11741,23.3299,11.13156,519.6894,397.98585,1334.57716,15.87549,130.89542,19.46493,0,
"52502007 : Ward 7",259.09397,797.36306,29.51711,16.47906,849.53854,463.12301,166.74022,4.45018,26.32415,0,
"52502008 : Ward 8",20.63465,1676.80229,99.07285,3.5996,54.31074,1.7998,3.51507,6.63094,7.90473,0,
"52502009 : Ward 9",346.11966,1491.23412,26.30867,238.8644,311.47726,508.338,4.0132,27.36864,10.90517,0,
"52502010 : Ward 10",56.22707,1773.87276,3.25697,0,0,1.13269,1.08071,1.04357,17.19944,0,
"52502011 : Ward 11",49.68987,1527.63361,28.53479,155.33371,1.24969,118.4832,6.93643,214.72863,7.18105,0,
"52502012 : Ward 12",41.97513,16.87974,11.79335,20.96225,20.69986,1584.33939,2.16142,138.32646,19.96038,0,
"52502013 : Ward 13",7.38717,1505.84211,1.04357,6.26932,4.62366,148.33496,9.55765,7.27017,16.62145,0,
"52502014 : Ward 14",16.39913,78.03878,19.68857,515.56481,1311.1784,2155.31979,43.47488,18.60463,14.08824,0,
"52502015 : Ward 15",122.06895,7.53231,5.03293,14.25852,69.28813,2097.66324,3.34885,162.12909,15.99121,0,
"52502016 : Ward 16",118.71746,17.92196,11.68039,47.95712,65.67229,2432.56621,22.33931,131.22965,16.16939,0,
"52502017 : Ward 17",58.45376,2171.12355,21.33137,5.91222,7.43293,403.12376,28.06084,36.94096,19.74199,0,
"52502018 : Ward 18",20.4911,327.04232,37.6774,61.15095,7.44945,1125.24012,17.12921,113.71743,20.84616,0,
"52502019 : Ward 19",30.61923,1009.78314,20.06095,560.18291,253.20836,617.58105,3,16.53209,5.22575,0,
"52502020 : Ward 20",47.17194,1764.27795,196.41427,16.75932,6.79992,19.19699,165.96793,50.63639,12.73128,0,
"52502021 : Ward 21",94.60674,835.48764,256.68249,196.17567,91.24469,906.15781,18.54902,95.27972,20.71506,0,
"52502022 : Ward 22",2.12428,1884.07067,53.41007,2.17626,0,0,22.45388,3.34609,7.81425,0,
"52502023 : Ward 23",1.08071,1814.98767,270.43294,2.29326,1.08071,12.43927,6.42482,38.86371,17.9394,0,
"52502024 : Ward 24",17.85682,2529.65901,180.72218,8.15824,31.30013,40.63437,1.24969,16.60849,40.23929,0,
"52502025 : Ward 25",125.44701,1679.98828,8.24736,4.1302,26.03872,1063.49609,3.5996,81.87026,0,0,
"52502026 : Ward 26",15.49343,2973.2944,4.4268,0,0,2.08071,2.93249,22.87593,14.70796,0,
"52502027 : Ward 27",5.63935,1653.89464,19.12128,144.13955,481.26767,6.18946,5.69133,172.77333,16.99799,0,
"52502028 : Ward 28",7.93261,1905.52145,3.92408,0,1.04357,0,0,5.17377,23.92333,0,
"52502029 : Ward 29",35.82311,1329.12606,71.20091,186.29864,674.95553,230.42171,3.04949,8.10626,12.58504,0,
"52502030 : Ward 30",44.44275,1138.89126,5.34001,117.76853,327.24841,382.88632,12.88522,53.2473,3.95672,0,
"52502031 : Ward 31",115.25802,54.22752,17.80258,897.1749,816.58096,707.73241,3.23763,16.32358,5.37989,0,
"52502032 : Ward 32",36.0617,1483.56306,72.04167,170.88612,523.94096,330.20217,7.27017,166.83736,12.46209,0,
"52502033 : Ward 33",323.5712,9.66413,17.34848,63.94666,1358.9207,798.90174,79.34309,14.02113,12.75823,0,
"52502034 : Ward 34",25.91608,3645.59391,14.93016,0,3.13269,1.7998,4.1302,8.02555,15.38102,0,
"Total",2311.30548,48063.0024,1719.38275,3991.39994,7840.49046,18963.88219,689.67169,1831.00178,614.21421,0,


(c) Copyright Statistics South Africa
