SuperWEB2(tm)

"Household Services"
"Geography 2016 by Source of water"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Source of water","Regional/local water scheme (operated by a Water Service Authority or provider)","Borehole","Spring","Rain-water tank","Dam / pool / stagnant water","River/stream","Water vendor","Water tanker","Other","Unspecified","Not applicable","Total",
"Geography 2016",
"52502001 : Ward 1",668.14041,577.30143,220.24275,77.37505,48.06995,216.7899,10.25472,277.17,82.0879,0,0,2177.43211,
"52502002 : Ward 2",3068.98695,1.7998,1.13269,2.49938,2.38238,1.13269,4.6608,4.59578,71.96263,0,0,3159.1531,
"52502003 : Ward 3",2307.31595,15.94063,1.13269,3.13269,9.0876,13.8874,7.52235,7.34411,45.90745,0,0,2411.27087,
"52502004 : Ward 4",2283.71666,4.0132,0,3.63207,2.24969,0,1,2.7998,41.78225,0,0,2339.19367,
"52502005 : Ward 5",2974.49816,7.23167,1.04357,1.08071,3.04949,1.08071,5.93,4.46952,67.02112,0,0,3065.40495,
"52502006 : Ward 6",1970.49754,71.20931,10.74069,25.71345,3.95672,2.82275,30.48144,325.84513,161.80009,0,0,2603.06712,
"52502007 : Ward 7",2205.97134,28.4974,2.16142,12.23213,1.08071,5.37989,20.47859,86.35932,250.4685,0,0,2612.6293,
"52502008 : Ward 8",1771.36892,16.5755,0,1.24969,2.38238,0,4.5438,48.51681,29.63357,0,0,1874.27067,
"52502009 : Ward 9",2865.20557,9.68969,0,2.38238,4.68031,0,1.24969,10.12704,71.29444,0,0,2964.62912,
"52502010 : Ward 10",1785.76523,2.12428,0,0,1.13269,0,5.10875,6.68292,52.99934,0,0,1853.81321,
"52502011 : Ward 11",2053.99793,7.09193,1.24969,1.13269,3.96122,1.13269,4.38966,10.3104,26.50477,0,0,2109.77098,
"52502012 : Ward 12",1706.60059,30.99735,7.00621,2.49938,1.08071,0,6.57472,14.26752,88.0715,0,0,1857.09798,
"52502013 : Ward 13",1667.82889,2.84337,3.34609,1.08071,0,0,2.12428,7.23303,22.49369,0,0,1706.95006,
"52502014 : Ward 14",3584.82679,14.3621,4.59578,2.2134,1.7998,0,6.90855,89.31594,468.33487,0,0,4172.35723,
"52502015 : Ward 15",1727.51534,217.3262,27.41709,4.29918,11.87486,4.48732,9.10537,282.43577,212.8521,0,0,2497.31323,
"52502016 : Ward 16",2333.26932,117.8604,2.3304,8.45762,1.7998,0,9.38109,15.15109,376.00406,0,0,2864.25378,
"52502017 : Ward 17",2689.21578,8.48272,0,0,0,0,26.21301,1.08071,27.12916,0,0,2752.12138,
"52502018 : Ward 18",1533.38636,98.17444,0,1.08071,0,0,12.11176,28.778,57.21287,0,0,1730.74414,
"52502019 : Ward 19",2218.97444,20.77349,7,1.04357,6.13269,1,1.7998,231.01071,28.45878,0,0,2516.19348,
"52502020 : Ward 20",2210.55241,34.38868,0,1.04357,0,0,10.69476,5.86498,17.41159,0,0,2279.95599,
"52502021 : Ward 21",1299.65657,489.88066,239.94579,74.39545,47.70841,55.19959,24.7468,214.11329,69.25228,0,0,2514.89884,
"52502022 : Ward 22",1954.21074,1.04357,0,2.12428,0,0,5.09391,3.97606,8.94694,0,0,1975.3955,
"52502023 : Ward 23",2003.5036,6.56456,0,2.3304,1.7998,0,12.6408,112.16421,26.53912,0,0,2165.54249,
"52502024 : Ward 24",2773.48814,14.15462,6.09898,2.2134,3.51507,0,4.06518,3.25697,59.63586,0,0,2866.42822,
"52502025 : Ward 25",2643.56357,315.74952,0,4.06518,0,2.3304,10.24869,10.46458,6.39558,0,0,2992.81752,
"52502026 : Ward 26",2970.16798,27.53303,1.04357,1.13269,1.08071,0,2.26538,2.26538,30.32298,0,0,3035.81172,
"52502027 : Ward 27",2460.50494,6.39558,0,0,1.7998,0,5.05677,1.24969,30.70782,0,0,2505.7146,
"52502028 : Ward 28",1773.80051,3.92408,0,20.77163,0,1.04357,2.08714,8.13873,137.75315,0,0,1947.51881,
"52502029 : Ward 29",2501.07892,1.7998,0,2.3304,1.08071,0,7.98926,17.14647,20.14119,0,0,2551.56675,
"52502030 : Ward 30",1955.23515,13.18231,2.15242,5.75652,4.68031,0,5.31899,78.51345,21.82737,0,0,2086.66652,
"52502031 : Ward 31",2171.30655,87.0346,4.3763,1.07621,1.07621,2.3304,8.54663,270.20996,87.76063,0,0,2633.71749,
"52502032 : Ward 32",2730.15401,3.54295,2.88051,4.1302,0,0,10.54529,2.3304,49.68194,0,0,2803.2653,
"52502033 : Ward 33",2276.68457,12.98123,0,4.62255,1.24969,3.89896,24.57911,227.21978,127.23947,0,0,2678.47536,
"52502034 : Ward 34",3654.12379,6.35252,2,4.0132,0,3.5996,3.26538,6.88694,38.66798,0,0,3718.90941,
"Total",76795.11362,2276.82262,547.89664,281.11049,168.71171,316.11587,306.98247,2417.29449,2914.30299,0,0,86024.3509,


(c) Copyright Statistics South Africa
