dataset,category,value
age_group,0 - 4,2745.562526
age_group,5 - 9,2559.255326
age_group,10 - 14,2709.169838
age_group,15 - 19,2410.384661
age_group,20 - 24,2035.772433
age_group,25 - 29,1949.648237
age_group,30 - 34,1703.706243
age_group,35 - 39,1526.435863
age_group,40 - 44,1162.450029
age_group,45 - 49,974.08865
age_group,50 - 54,734.029923
age_group,55 - 59,725.700473
age_group,60 - 64,530.49626
age_group,65 - 69,438.618298
age_group,70 - 74,221.195678
age_group,75 - 79,126.577472
age_group,80 - 84,83.864541
age_group,85+,33.206178
age_group,Total,22670.162627
age_of_hh_head,0,0.0
age_of_hh_head,10,11.851
age_of_hh_head,11,1.08071
age_of_hh_head,12,1.7998
age_of_hh_head,13,3.23185
age_of_hh_head,14,1.07621
age_of_hh_head,15,2.7998
age_of_hh_head,16,10.86271
age_of_hh_head,17,18.27891
age_of_hh_head,18,20.92938
age_of_hh_head,19,24.25482
age_of_hh_head,20,40.34101
age_of_hh_head,21,22.3961
age_of_hh_head,22,42.33175
age_of_hh_head,23,26.30611
age_of_hh_head,24,30.58022
age_of_hh_head,25,30.60292
age_of_hh_head,26,32.32698
age_of_hh_head,27,46.57593
age_of_hh_head,28,45.04169
age_of_hh_head,29,42.21476
age_of_hh_head,30,58.41802
age_of_hh_head,31,34.16793
age_of_hh_head,32,50.87131
age_of_hh_head,33,54.50378
age_of_hh_head,34,49.11061
age_of_hh_head,35,59.01926
age_of_hh_head,36,75.36849
age_of_hh_head,37,66.74555
age_of_hh_head,38,60.21135
age_of_hh_head,39,55.6159
age_of_hh_head,40,43.12543
age_of_hh_head,41,57.37391
age_of_hh_head,42,69.58539
age_of_hh_head,43,53.77513
age_of_hh_head,44,59.0269
age_of_hh_head,45,55.4053
age_of_hh_head,46,42.80203
age_of_hh_head,47,63.14329
age_of_hh_head,48,55.42328
age_of_hh_head,49,51.47716
age_of_hh_head,50,57.81625
age_of_hh_head,51,55.80275
age_of_hh_head,52,64.29872
age_of_hh_head,53,73.40623
age_of_hh_head,54,56.8287
age_of_hh_head,55,43.39662
age_of_hh_head,56,44.59041
age_of_hh_head,57,43.99432
age_of_hh_head,58,35.62219
age_of_hh_head,59,55.2064
age_of_hh_head,60,50.25241
age_of_hh_head,61,37.91296
age_of_hh_head,62,47.84505
age_of_hh_head,63,41.13857
age_of_hh_head,64,35.04766
age_of_hh_head,65,30.11217
age_of_hh_head,66,17.03478
age_of_hh_head,67,18.07101
age_of_hh_head,68,26.77463
age_of_hh_head,69,37.17373
age_of_hh_head,70,23.51363
age_of_hh_head,71,34.37184
age_of_hh_head,72,23.35776
age_of_hh_head,73,25.43995
age_of_hh_head,74,14.58174
age_of_hh_head,75,7.22577
age_of_hh_head,76,12.45943
age_of_hh_head,77,8.55167
age_of_hh_head,78,12.43218
age_of_hh_head,79,4.31256
age_of_hh_head,80,12.37203
age_of_hh_head,81,13.93697
age_of_hh_head,82,10.37892
age_of_hh_head,83,5.22127
age_of_hh_head,84,6.30198
age_of_hh_head,85,2.3304
age_of_hh_head,86,3.23313
age_of_hh_head,87,3.12211
age_of_hh_head,88,2.3304
age_of_hh_head,89,1.07621
age_of_hh_head,90,2.0459
age_of_hh_head,91,2.09916
age_of_hh_head,92,0.0
age_of_hh_head,93,2.15242
age_of_hh_head,94,0.0
age_of_hh_head,95,1.24969
age_of_hh_head,96,1.0
age_of_hh_head,97,0.0
age_of_hh_head,98,0.0
age_of_hh_head,99,0.0
age_of_hh_head,100,0.0
age_of_hh_head,101,0.0
age_of_hh_head,102,0.0
age_of_hh_head,103,0.0
age_of_hh_head,104,0.0
age_of_hh_head,105,0.0
age_of_hh_head,106,0.0
age_of_hh_head,107,0.0
age_of_hh_head,108,0.0
age_of_hh_head,109,0.0
age_of_hh_head,110,0.0
age_of_hh_head,111,0.0
age_of_hh_head,112,0.0
age_of_hh_head,113,0.0
age_of_hh_head,114,0.0
age_of_hh_head,115,0.0
age_of_hh_head,116,0.0
age_of_hh_head,117,0.0
age_of_hh_head,118,0.0
age_of_hh_head,119,0.0
age_of_hh_head,120,0.0
age_of_hh_head,Unspecified,0.0
age_of_hh_head,Not applicable,1.0
age_of_hh_head,Total,2678.47536
disability_chronic_medication,Yes,948.46406
disability_chronic_medication,No,10957.27682
disability_chronic_medication,do not know,113.11353
disability_chronic_medication,Unspecified,340.95209
disability_chronic_medication,Not applicable,9.0
disability_chronic_medication,Total,12368.8065
disability_hearing,No difficulty,10823.75094
disability_hearing,Some difficulty,381.84445
disability_hearing,A lot of difficulty,80.24398
disability_hearing,Cannot do at all,31.30162
disability_hearing,Do not know,22.7592
disability_hearing,Cannot yet be determined,614.42798
disability_hearing,Unspecified,405.47833
disability_hearing,Not applicable,9.0
disability_hearing,Total,12368.8065
disability_seeing,No difficulty,10138.64681
disability_seeing,Some difficulty,967.88368
disability_seeing,A lot of difficulty,212.54018
disability_seeing,Cannot do at all,29.39444
disability_seeing,Do not know,23.96342
disability_seeing,Cannot yet be determined,616.86448
disability_seeing,Unspecified,370.51349
disability_seeing,Not applicable,9.0
disability_seeing,Total,12368.8065
disability_walking_stick,Yes,222.28874
disability_walking_stick,No,11647.74514
disability_walking_stick,do not know,102.3171
disability_walking_stick,Unspecified,387.45552
disability_walking_stick,Not applicable,9.0
disability_walking_stick,Total,12368.8065
disability_wheelchair,Yes,168.29517
disability_wheelchair,No,11774.4236
disability_wheelchair,do not know,94.2058
disability_wheelchair,Unspecified,322.88193
disability_wheelchair,Not applicable,9.0
disability_wheelchair,Total,12368.8065
